hour,price_usd_mwh,charge_mw,discharge_mw,soc_mwh
486,21.44,1.0,0.0,2.7821
487,35.83,0.0,1.0,3.7094
488,24.03,1.0,0.0,2.6311
489,40.6,0.0,1.0,3.5585
490,44.38,0.0,1.0,2.4802
491,31.63,0.0,1.0,1.4018
492,23.36,1.0,0.0,0.3235
493,30.0,0.0,0.0,1.2509
494,24.83,0.7784,0.0,1.2509
495,43.68,0.0,1.0,1.9727
496,18.8,1.0,0.0,0.8944
497,34.57,0.0,1.0,1.8218
498,20.05,1.0,0.0,0.7435
499,23.48,1.0,0.0,1.6708
500,60.63,0.0,1.0,2.5982
501,48.03,0.0,1.0,1.5198
502,25.59,0.0,0.0,0.4415
503,18.57,1.0,0.0,0.4415
504,9.02,1.0,0.0,1.3689
505,19.85,1.0,0.0,2.2962
506,53.56,0.0,1.0,3.2236
507,26.43,0.0,0.0,2.1453
508,19.33,1.0,0.0,2.1453
509,29.96,0.0,0.0,3.0726
510,16.31,1.0,0.0,3.0726
511,27.78,0.0,0.0,4.0
512,33.52,0.0,0.0,4.0
513,31.21,0.0,0.0,4.0
514,40.03,0.0,1.0,4.0
515,31.38,0.0,0.0,2.9217
516,32.63,0.0,0.0,2.9217
517,20.11,1.0,0.0,2.9217
518,37.88,0.0,1.0,3.849
519,55.68,0.0,1.0,2.7707
520,25.41,1.0,0.0,1.6924
521,28.5,1.0,0.0,2.6197
522,64.22,0.0,1.0,3.5471
523,37.06,0.0,0.1494,2.4688
524,61.48,0.0,1.0,2.3076
525,30.07,0.0,0.0,1.2293
526,54.78,0.0,1.0,1.2293
527,32.9,0.0,0.0,0.151
528,27.86,1.0,0.0,0.151
529,41.51,0.0,1.0,1.0783
530,20.23,1.0,0.0,0.0
531,16.33,1.0,0.0,0.9274
532,20.1,1.0,0.0,1.8547
533,29.82,0.0,1.0,2.7821
534,16.29,1.0,0.0,1.7038
535,38.53,0.0,1.0,2.6311
536,26.81,0.0,0.1706,1.5528
537,48.07,0.0,1.0,1.3689
538,13.13,1.0,0.0,0.2906
539,21.12,1.0,0.0,1.2179
540,14.31,1.0,0.0,2.1453
541,19.17,1.0,0.0,3.0726
542,30.17,0.0,0.0,4.0
543,29.57,0.0,0.0,4.0
544,32.65,0.0,0.0,4.0
545,36.78,0.0,0.0,4.0
546,43.21,0.0,1.0,4.0
547,27.84,1.0,0.0,2.9217
548,48.17,0.0,1.0,3.849
549,44.28,0.0,1.0,2.7707
550,37.67,0.0,0.4294,1.6924
551,38.18,0.0,1.0,1.2293
552,28.24,1.0,0.0,0.151
553,48.94,0.0,1.0,1.0783
554,22.27,0.0,0.0,0.0
555,20.39,0.3133,0.0,0.0
556,18.07,1.0,0.0,0.2906
557,17.74,1.0,0.0,1.2179
558,18.22,1.0,0.0,2.1453
559,22.58,0.0,0.0,3.0726
560,-6.64,1.0,0.0,3.0726
561,36.16,0.0,1.0,4.0
562,30.9,0.0,0.0,2.9217
563,21.28,1.0,0.0,2.9217
564,35.39,0.0,1.0,3.849
565,33.15,0.0,0.58,2.7707
566,26.16,1.0,0.0,2.1453
567,25.05,1.0,0.0,3.0726
568,43.23,0.0,1.0,4.0
569,41.53,0.0,1.0,2.9217
570,24.24,1.0,0.0,1.8433
571,38.7,0.0,1.0,2.7707
572,41.23,0.0,1.0,1.6924
573,25.63,1.0,0.0,0.6141
574,35.18,0.0,0.2894,1.5414
575,18.89,1.0,0.0,1.2293
576,40.63,0.0,1.0,2.1567
577,37.16,0.0,1.0,1.0783
578,21.02,1.0,0.0,0.0
579,25.78,0.0,0.0,0.9274
580,10.12,1.0,0.0,0.9274
581,16.98,1.0,0.0,1.8547
582,25.42,0.3023,0.0,2.7821
583,21.18,1.0,0.0,3.0625
584,41.57,0.0,1.0,3.9898
585,64.71,0.0,1.0,2.9115
586,20.11,1.0,0.0,1.8332
587,20.75,1.0,0.0,2.7605
588,28.04,0.0,0.0,3.6879
589,44.98,0.0,1.0,3.6879
590,18.04,1.0,0.0,2.6096
591,34.35,0.0,1.0,3.5369
592,67.5,0.0,1.0,2.4586
593,21.81,1.0,0.0,1.3803
594,25.7,0.0,0.0,2.3076
595,34.17,0.0,1.0,2.3076
596,-16.08,1.0,0.0,1.2293
597,46.66,0.0,1.0,2.1567
598,35.83,0.0,1.0,1.0783
599,16.88,1.0,0.0,0.0
600,30.49,0.0,0.0,0.9274
601,19.61,1.0,0.0,0.9274
602,35.86,0.0,1.0,1.8547
603,18.22,1.0,0.0,0.7764
604,18.82,1.0,0.0,1.7038
605,30.77,0.0,0.0306,2.6311
606,36.79,0.0,1.0,2.5982
607,36.06,0.0,1.0,1.5198
608,17.95,1.0,0.0,0.4415
609,38.83,0.0,1.0,1.3689
610,21.14,1.0,0.0,0.2906
611,30.21,0.0,0.0,1.2179
612,15.69,1.0,0.0,1.2179
613,29.92,0.0,0.0,2.1453
614,20.86,1.0,0.0,2.1453
615,20.1,1.0,0.0,3.0726
616,45.81,0.0,1.0,4.0
617,42.32,0.0,1.0,2.9217
618,32.46,0.0,0.0,1.8433
619,65.86,0.0,1.0,1.8433
620,32.24,0.0,0.0,0.765
621,35.51,0.0,0.0,0.765
622,36.17,0.0,0.7094,0.765
623,25.3,0.0,0.0,0.0
624,30.02,0.0,0.0,0.0
625,19.92,1.0,0.0,0.0
626,19.88,1.0,0.0,0.9274
627,36.57,0.0,1.0,1.8547
628,16.34,1.0,0.0,0.7764
629,10.94,1.0,0.0,1.7038
630,49.51,0.0,1.0,2.6311
631,75.24,0.0,1.0,1.5528
632,28.09,0.0,0.0,0.4745
633,16.33,1.0,0.0,0.4745
634,27.23,0.0,0.0,1.4018
635,25.17,0.8017,0.0,1.4018
636,24.16,1.0,0.0,2.1453
637,17.33,1.0,0.0,3.0726
638,33.89,0.0,0.0,4.0
639,37.83,0.0,0.86,4.0
640,21.15,1.0,0.0,3.0726
641,49.67,0.0,1.0,4.0
642,82.55,0.0,1.0,2.9217
643,42.09,0.0,1.0,1.8433
644,33.43,0.0,0.0,0.765
645,33.41,0.0,0.0,0.765
646,40.84,0.0,0.7094,0.765
647,17.15,1.0,0.0,0.0
648,26.96,1.0,0.0,0.9274
649,20.94,1.0,0.0,1.8547
650,43.84,0.0,1.0,2.7821
651,21.36,1.0,0.0,1.7038
652,42.16,0.0,1.0,2.6311
653,17.3,1.0,0.0,1.5528
654,34.6,0.0,1.0,2.4802
655,34.47,0.0,1.0,1.4018
656,23.88,1.0,0.0,0.3235
657,34.23,0.0,0.16,1.2509
658,46.4,0.0,1.0,1.0783
659,24.84,1.0,0.0,0.0
660,14.28,1.0,0.0,0.9274
661,25.44,0.4761,0.0,1.8547
662,20.18,1.0,0.0,2.2962
663,27.93,0.0,0.0,3.2236
664,34.68,0.0,1.0,3.2236
665,21.41,1.0,0.0,2.1453
666,22.86,1.0,0.0,3.0726
667,46.92,0.0,1.0,4.0
668,31.33,0.0,0.0,2.9217
669,14.31,1.0,0.0,2.9217
670,43.33,0.0,1.0,3.849
671,34.57,0.0,1.0,2.7707
672,19.83,1.0,0.0,1.6924
673,15.14,1.0,0.0,2.6197
674,30.76,0.0,0.0,3.5471
675,25.65,0.4884,0.0,3.5471
676,54.15,0.0,1.0,4.0
677,29.49,0.1628,0.0,2.9217
678,32.27,0.0,0.0,3.0726
679,29.08,1.0,0.0,3.0726
680,43.09,0.0,1.0,4.0
681,40.03,0.0,1.0,2.9217
682,47.05,0.0,1.0,1.8433
683,23.18,1.0,0.0,0.765
684,22.17,1.0,0.0,1.6924
685,21.64,1.0,0.0,2.6197
686,36.49,0.0,0.2894,3.5471
687,53.19,0.0,1.0,3.235
688,30.39,0.0,0.0,2.1567
689,33.52,0.0,0.0,2.1567
690,44.92,0.0,1.0,2.1567
691,36.37,0.0,0.0,1.0783
692,52.49,0.0,1.0,1.0783
693,15.97,1.0,0.0,0.0
694,24.65,0.0,0.0,0.9274
695,23.9,0.0,0.0,0.9274
696,11.3,1.0,0.0,0.9274
697,17.14,1.0,0.0,1.8547
698,16.67,1.0,0.0,2.7821
699,21.16,0.3133,0.0,3.7094
700,34.72,0.0,1.0,4.0
701,23.37,0.1628,0.0,2.9217
702,19.64,1.0,0.0,3.0726
703,30.22,0.0,0.72,4.0
704,46.74,0.0,1.0,3.2236
705,22.86,1.0,0.0,2.1453
706,22.07,1.0,0.0,3.0726
707,33.83,0.0,1.0,4.0
708,23.9,1.0,0.0,2.9217
709,32.1,0.0,1.0,3.849
710,27.54,0.0,0.0,2.7707
711,40.25,0.0,1.0,2.7707
712,24.84,0.6634,0.0,1.6924
713,38.72,0.0,1.0,2.3076
714,37.38,0.0,1.0,1.2293
715,25.9,0.0,0.0,0.151
716,21.76,1.0,0.0,0.151
717,44.64,0.0,1.0,1.0783
718,29.12,0.0,0.0,0.0
719,21.97,0.0,0.0,0.0
720,24.62,1.0,0.0,0.0
721,35.63,0.0,0.86,0.9274
722,10.33,1.0,0.0,0.0
723,13.45,1.0,0.0,0.9274
724,17.03,1.0,0.0,1.8547
725,42.46,0.0,1.0,2.7821
726,31.1,0.0,0.0,1.7038
727,40.33,0.0,1.0,1.7038
728,21.72,1.0,0.0,0.6254
729,21.74,1.0,0.0,1.5528
730,35.51,0.0,1.0,2.4802
731,28.39,0.4651,0.0,1.4018
732,31.29,0.0,0.0,1.8332
733,-6.92,1.0,0.0,1.8332
734,30.5,0.0,0.0,2.7605
