species,article,months,views_total,views_mean_monthly
Turdus niveiceps,Taiwan thrush,120,6727,56.06
Turdus nudigenis,Spectacled thrush,120,16021,133.51
Turdus obscurus,Eyebrowed thrush,120,43901,365.84
Turdus obsoletus,Pale-vented thrush,120,4228,35.23
Turdus olivaceofuscus,São Tomé thrush,120,5381,44.84
Turdus olivaceus,Olive thrush,120,49654,413.78
Turdus olivater,Black-hooded thrush,120,4330,36.08
Turdus pallidus,Pale thrush,120,27176,226.47
Turdus pelios,African thrush,120,22603,188.36
Turdus philomelos,Song thrush,120,1206164,10051.37
Turdus pilaris,,0,,
Turdus plebejus,Mountain thrush,120,8786,73.22
Turdus plumbeus,Western red-legged thrush,2,165,82.50
Turdus poliocephalus,Tasman Sea island thrush,15,2415,161.00
Turdus reevei,Plumbeous-backed thrush,120,3247,27.06
Turdus roehli,Usambara thrush,120,3908,32.57
Turdus rubripes,,0,,
Turdus rubrocanus,Chestnut thrush,120,9571,79.76
Turdus ruficollis,Red-throated thrush,120,28398,236.65
Turdus rufitorques,Rufous-collared thrush,120,12859,107.16
Turdus rufiventris,Rufous-bellied thrush,120,169330,1411.08
Turdus rufopalliatus,Rufous-backed thrush,120,24011,200.09
Turdus sanchezorum,Várzea thrush,120,3553,29.61
Turdus serranus,Glossy-black thrush,120,8386,69.88
Turdus simillimus,Indian blackbird,120,55631,463.59
Turdus smithi,Karoo thrush,120,26886,224.05
Turdus subalaris,Blacksmith thrush,67,7726,115.31
Turdus swalesi,La Selle thrush,120,8126,67.72
Turdus tephronotus,Bare-eyed thrush,120,6382,53.18
Turdus torquatus,Ring ouzel,120,194276,1618.97
Turdus unicolor,Tickell's thrush,120,14434,120.28
Turdus viscivorus,Mistle thrush,120,509404,4245.03
Turdus xanthorhynchus,Príncipe thrush,120,4916,40.97
Zoothera andromedae,Sunda thrush,120,5172,43.10
Zoothera atrigena,Bougainville thrush,73,620,8.49
Zoothera aurea,White's thrush,120,78147,651.23
Zoothera dauma,Scaly thrush,120,46339,386.16
Zoothera dixoni,Long-tailed thrush,120,7658,63.82
Zoothera everetti,Everett's thrush,120,5498,45.82
Zoothera griseiceps,Sichuan thrush,109,4213,38.65
Zoothera heinei,Russet-tailed thrush,120,8121,67.67
Zoothera lunulata,Bassian thrush,120,32236,268.63
Zoothera machiki,Fawn-breasted thrush,120,4271,35.59
Zoothera major,Amami thrush,120,13300,110.83
Zoothera margaretae,Makira thrush,102,2599,25.48
Zoothera marginata,Dark-sided thrush,120,8597,71.64
Zoothera mollissima,Alpine thrush,120,10386,86.55
Zoothera monticola,Long-billed thrush,120,6730,56.08
Zoothera salimalii,Himalayan thrush,109,17995,165.09
Zoothera talaseae,New Britain thrush,120,948,7.90
Zoothera turipavae,Guadalcanal thrush,120,3647,30.39
Agriornis albicauda,White-tailed shrike-tyrant,120,3375,28.12
Agriornis lividus,Great shrike-tyrant,120,8857,73.81
Agriornis micropterus,Grey-bellied shrike-tyrant,120,2760,23.00
Agriornis montanus,Black-billed shrike-tyrant,120,5699,47.49
Agriornis murinus,Lesser shrike-tyrant,120,3078,25.65
Alectrurus risora,Strange-tailed tyrant,120,16167,134.72
Alectrurus tricolor,Cock-tailed tyrant,120,6080,50.67
Anairetes alpinus,Ash-breasted tit-tyrant,120,19707,164.22
Anairetes fernandezianus,Juan Fernandez tit-tyrant,120,4513,37.61
Anairetes flavirostris,Yellow-billed tit-tyrant,120,3627,30.23
Anairetes nigrocristatus,Black-crested tit-tyrant,120,3935,32.79
Anairetes parulus,Tufted tit-tyrant,120,18172,151.43
Anairetes reguloides,Pied-crested tit-tyrant,120,3679,30.66
Aphanotriccus audax,Black-billed flycatcher,120,2269,18.91
Aphanotriccus capitalis,Tawny-chested flycatcher,120,3188,26.57
Arundinicola leucocephala,White-headed marsh tyrant,120,12029,100.24
Atalotriccus pilaris,Pale-eyed pygmy tyrant,120,2706,22.55
Attila bolivianus,White-eyed attila,120,2620,21.83
Attila cinnamomeus,Cinnamon attila,120,5473,45.61
Attila citriniventris,Citron-bellied attila,120,2553,21.27
Attila phoenicurus,Rufous-tailed attila,120,3733,31.11
Attila rufus,Grey-hooded attila,120,3867,32.23
Attila spadiceus,Bright-rumped attila,120,13013,108.44
Attila torridus,Ochraceous attila,120,3156,26.30
Calyptura cristata,Kinglet calyptura,120,12718,105.98
Camptostoma imberbe,Northern beardless tyrannulet,120,12446,103.72
Camptostoma obsoletum,Southern beardless tyrannulet,120,7738,64.48
Capsiempis flaveola,Yellow tyrannulet,120,5530,46.08
Casiornis fuscus,Ash-throated casiornis,120,2690,22.42
Casiornis rufus,Rufous casiornis,120,3157,26.31
Cnemarchus erythropygius,Red-rumped bush tyrant,120,8106,67.55
Cnemotriccus fuscatus,Fuscous flycatcher,120,6530,54.42
Cnipodectes subbrunneus,Brownish twistwing,120,3792,31.60
Cnipodectes superrufus,Rufous twistwing,120,3142,26.18
Colonia colonus,Long-tailed tyrant,120,7439,61.99
Colorhamphus parvirostris,Patagonian tyrant,120,4328,36.07
Conopias albovittatus,White-ringed flycatcher,120,4275,35.62
Conopias cinchoneti,Lemon-browed flycatcher,120,2428,20.23
Conopias parvus,Yellow-throated flycatcher,120,3490,29.08
Conopias trivirgatus,Three-striped flycatcher,120,2998,24.98
Contopus albogularis,White-throated pewee,120,2653,22.11
Contopus bogotensis,Northern tropical pewee,39,1753,44.95
Contopus caribaeus,Cuban pewee,120,9450,78.75
Contopus cinereus,Southern tropical pewee,82,1702,20.76
Contopus cooperi,Olive-sided flycatcher,120,101158,842.98
Contopus fumigatus,Smoke-colored pewee,120,8077,67.31
Contopus hispaniolensis,Hispaniolan pewee,120,6093,50.77
Contopus latirostris,Lesser Antillean pewee,120,7096,59.13
Contopus lugubris,Dark pewee,120,3976,33.13
Contopus nigrescens,Blackish pewee,120,2867,23.89
Contopus ochraceus,Ochraceous pewee,120,2721,22.68
Contopus pallidus,Jamaican pewee,120,4674,38.95
Contopus pertinax,Greater pewee,120,17675,147.29
Contopus punensis,Tumbes pewee,120,2271,18.93
Contopus sordidulus,Western wood pewee,120,64262,535.52
Contopus virens,Eastern wood pewee,120,232074,1933.95
Corythopis delalandi,Southern antpipit,120,3474,28.95
Corythopis torquatus,Ringed antpipit,120,3844,32.03
Culicivora caudacuta,Sharp-tailed grass tyrant,120,2178,18.15
Deltarhynchus flammulatus,Flammulated flycatcher,120,6742,56.18
Elaenia albiceps,White-crested elaenia,120,19060,158.83
Elaenia brachyptera,Coopmans's elaenia,98,1910,19.49
Elaenia cherriei,Hispaniolan elaenia,2,38,19.00
Elaenia chiriquensis,Lesser elaenia,120,5943,49.52
Elaenia cristata,Plain-crested elaenia,120,2887,24.06
Elaenia dayi,Great elaenia,120,2789,23.24
Elaenia fallax,Blue Mountain elaenia,2,56,28.00
Elaenia flavogaster,Yellow-bellied elaenia,120,24150,201.25
Elaenia frantzii,Mountain elaenia,120,5761,48.01
Elaenia gigas,Mottle-backed elaenia,120,2510,20.92
Elaenia martinica,Caribbean elaenia,120,19737,164.47
Elaenia mesoleuca,Olivaceous elaenia,120,2814,23.45
Elaenia obscura,Highland elaenia,120,3735,31.12
Elaenia olivina,Tepui elaenia,79,1114,14.10
Elaenia pallatangae,Sierran elaenia,120,3660,30.50
Elaenia parvirostris,Small-billed elaenia,120,7824,65.20
Elaenia pelzelni,Brownish elaenia,120,3100,25.83
Elaenia ridleyana,Noronha elaenia,120,8509,70.91
Elaenia ruficeps,Rufous-crowned elaenia,120,2280,19.00
Elaenia sordida,Small-headed elaenia,79,2022,25.59
Elaenia spectabilis,Large elaenia,120,4180,34.83
Elaenia strepera,Slaty elaenia,120,3170,26.42
Empidonax affinis,Pine flycatcher,120,6329,52.74
Empidonax albigularis,White-throated flycatcher,120,4145,34.54
Empidonax alnorum,Alder flycatcher,120,78021,650.17
Empidonax atriceps,Black-capped flycatcher,120,5636,46.97
Empidonax difficilis,Western flycatcher,120,20193,168.28
Empidonax flavescens,Yellowish flycatcher,120,12700,105.83
Empidonax flaviventris,Yellow-bellied flycatcher,120,100974,841.45
Empidonax fulvifrons,Buff-breasted flycatcher,120,9920,82.67
Empidonax hammondii,Hammond's flycatcher,120,55933,466.11
Empidonax minimus,Least flycatcher,120,91183,759.86
Empidonax oberholseri,American dusky flycatcher,120,38030,316.92
Empidonax occidentalis,Western flycatcher,120,20193,168.28
Empidonax traillii,Willow flycatcher,120,113367,944.73
Empidonax virescens,Acadian flycatcher,120,93764,781.37
Empidonax wrightii,American gray flycatcher,120,21891,182.43
Empidonomus varius,Variegated flycatcher,120,11763,98.03
Euscarthmus fulviceps,Fulvous-faced scrub tyrant,48,1111,23.15
Euscarthmus meloryphus,Fulvous-crowned scrub tyrant,48,1406,29.29
Euscarthmus rufomarginatus,Rufous-sided scrub tyrant,48,1185,24.69
Fluvicola albiventer,Black-backed water tyrant,120,5255,43.79
Fluvicola nengeta,Masked water tyrant,120,32742,272.85
Fluvicola pica,Pied water tyrant,120,7859,65.49
Griseotyrannus aurantioatrocristatus,Crowned slaty flycatcher,120,7842,65.35
Gubernetes yetapa,Streamer-tailed tyrant,120,6078,50.65
Guyramemua affinis,,0,,
Hemitriccus cinnamomeipectus,Cinnamon-breasted tody-tyrant,120,2494,20.78
Hemitriccus cohnhafti,Acre tody-tyrant,120,5115,42.62
Hemitriccus diops,Drab-breasted bamboo tyrant,120,5787,48.23
Hemitriccus flammulatus,Flammulated bamboo tyrant,120,2927,24.39
Hemitriccus furcatus,Fork-tailed tody-tyrant,120,3426,28.55
Hemitriccus granadensis,Black-throated tody-tyrant,120,2875,23.96
Hemitriccus griseipectus,White-bellied tody-tyrant,120,2539,21.16
Hemitriccus inornatus,Pelzeln's tody-tyrant,120,2811,23.43
Hemitriccus iohannis,Johannes's tody-tyrant,120,2716,22.63
Hemitriccus josephinae,Boat-billed tody-tyrant,120,2668,22.23
Hemitriccus kaempferi,Kaempfer's tody-tyrant,120,4311,35.92
Hemitriccus margaritaceiventer,Pearly-vented tody-tyrant,120,3708,30.90
Hemitriccus minimus,Zimmer's tody-tyrant,120,2872,23.93
Hemitriccus minor,Snethlage's tody-tyrant,120,2972,24.77
Hemitriccus mirandae,Buff-breasted tody-tyrant,120,2885,24.04
Hemitriccus nidipendulus,Hangnest tody-tyrant,120,2856,23.80
Hemitriccus obsoletus,Brown-breasted bamboo tyrant,120,2698,22.48
Hemitriccus orbitatus,Eye-ringed tody-tyrant,120,2890,24.08
Hemitriccus rufigularis,Buff-throated tody-tyrant,120,2332,19.43
Hemitriccus spodiops,Yungas tody-tyrant,120,2681,22.34
Hemitriccus striaticollis,Stripe-necked tody-tyrant,120,2720,22.67
Hemitriccus zosterops,White-eyed tody-tyrant,120,2992,24.93
Hirundinea bellicosa,Cliff flycatcher,120,41183,343.19
Hirundinea ferruginea,Cliff flycatcher,120,41183,343.19
Hymenops perspicillatus,Spectacled tyrant,120,10834,90.28
Inezia caudata,Pale-tipped inezia,120,2528,21.07
Inezia inornata,Plain inezia,120,2679,22.32
Inezia subflava,Amazonian inezia,120,3835,31.96
Inezia tenuirostris,Slender-billed inezia,120,2595,21.62
Knipolegus aterrimus,White-winged black tyrant,120,3653,30.44
Knipolegus cabanisi,Plumbeous tyrant,120,2882,24.02
Knipolegus cyanirostris,Blue-billed black tyrant,120,3561,29.68
Knipolegus franciscanus,São Francisco black tyrant,35,451,12.89
Knipolegus heterogyna,,0,,
Knipolegus hudsoni,Hudson's black tyrant,120,2804,23.37
Knipolegus lophotes,Crested black tyrant,120,5246,43.72
Knipolegus nigerrimus,Velvety black tyrant,120,3018,25.15
Knipolegus orenocensis,Riverside tyrant,120,2316,19.30
Knipolegus poecilocercus,Amazonian black tyrant,120,3826,31.88
Knipolegus poecilurus,Rufous-tailed tyrant,120,2733,22.77
Knipolegus sclateri,,0,,
Knipolegus signatus,Jelski's black tyrant,120,2448,20.40
Knipolegus striaticeps,Cinereous tyrant,120,2665,22.21
Lathrotriccus euleri,Euler's flycatcher,120,10368,86.40
Lathrotriccus griseipectus,Grey-breasted flycatcher,120,2685,22.38
Legatus leucophaius,Piratic flycatcher,120,14204,118.37
Leptopogon albidiventer,,0,,
Leptopogon amaurocephalus,Sepia-capped flycatcher,120,5045,42.04
Leptopogon rufipectus,Rufous-breasted flycatcher,120,3166,26.38
Leptopogon superciliaris,Slaty-capped flycatcher,120,4165,34.71
Leptopogon taczanowskii,Inca flycatcher,120,2574,21.45
Lessonia oreas,Andean negrito,120,5093,42.44
Lessonia rufa,Austral negrito,120,7898,65.82
Lophotriccus eulophotes,Long-crested pygmy tyrant,120,2112,17.60
Lophotriccus galeatus,Helmeted pygmy tyrant,120,4852,40.43
Lophotriccus pileatus,Scale-crested pygmy tyrant,120,11123,92.69
Lophotriccus vitiosus,Double-banded pygmy tyrant,120,2687,22.39
Machetornis rixosa,Cattle tyrant,120,77747,647.89
Mecocerculus calopterus,Rufous-winged tyrannulet,120,1964,16.37
Mecocerculus hellmayri,Buff-banded tyrannulet,120,2087,17.39
Mecocerculus leucophrys,White-throated tyrannulet,120,3565,29.71
Mecocerculus minor,Sulphur-bellied tyrannulet,120,2182,18.18
Mecocerculus poecilocercus,White-tailed tyrannulet,120,2855,23.79
Mecocerculus stictopterus,White-banded tyrannulet,120,2715,22.62
Megarynchus pitangua,Boat-billed flycatcher,120,22388,186.57
Mionectes galbinus,Olive-striped flycatcher,120,4813,40.11
Mionectes macconnelli,McConnell's flycatcher,120,2917,24.31
Mionectes oleagineus,Ochre-bellied flycatcher,120,7907,65.89
Mionectes olivaceus,Olive-streaked flycatcher,39,802,20.56
Mionectes roraimae,Sierra de Lema flycatcher,68,1037,15.25
Mionectes rufiventris,Grey-hooded flycatcher,120,3138,26.15
Mionectes striaticollis,Streak-necked flycatcher,120,2868,23.90
Mitrephanes olivaceus,Olive tufted flycatcher,120,2133,17.77
Mitrephanes phaeocercus,Northern tufted flycatcher,120,9744,81.20
Muscigralla brevicauda,Short-tailed field tyrant,120,1937,16.14
Muscipipra vetula,Shear-tailed grey tyrant,120,1794,14.95
Muscisaxicola albifrons,White-fronted ground tyrant,120,3085,25.71
Muscisaxicola albilora,White-browed ground tyrant,120,2549,21.24
Muscisaxicola alpinus,Paramo ground tyrant,120,2780,23.17
Muscisaxicola capistratus,Cinnamon-bellied ground tyrant,120,3423,28.52
Muscisaxicola cinereus,Cinereous ground tyrant,120,2289,19.07
Muscisaxicola flavinucha,Ochre-naped ground tyrant,120,2600,21.67
Muscisaxicola fluviatilis,Little ground tyrant,120,2588,21.57
Muscisaxicola frontalis,Black-fronted ground tyrant,120,2228,18.57
Muscisaxicola griseus,Taczanowski's ground tyrant,120,2161,18.01
Muscisaxicola juninensis,Puna ground tyrant,120,2606,21.72
Muscisaxicola maclovianus,Dark-faced ground tyrant,120,6619,55.16
Muscisaxicola maculirostris,Spot-billed ground tyrant,120,2411,20.09
Muscisaxicola occipitalis,,0,,
Muscisaxicola rufivertex,Rufous-naped ground tyrant,120,2687,22.39
Myiarchus antillarum,Puerto Rican flycatcher,120,11295,94.12
Myiarchus apicalis,Apical flycatcher,120,4542,37.85
Myiarchus barbirostris,Sad flycatcher,120,10552,87.93
Myiarchus cephalotes,Pale-edged flycatcher,120,3438,28.65
Myiarchus cinerascens,Ash-throated flycatcher,120,83158,692.98
Myiarchus crinitus,Great crested flycatcher,120,376640,3138.67
Myiarchus ferox,Short-crested flycatcher,120,5368,44.73
Myiarchus magnirostris,Galapagos flycatcher,120,12717,105.97
Myiarchus nugator,Grenada flycatcher,120,4963,41.36
Myiarchus nuttingi,Nutting's flycatcher,120,10976,91.47
Myiarchus oberi,Lesser Antillean flycatcher,120,5993,49.94
Myiarchus panamensis,Panama flycatcher,120,2178,18.15
Myiarchus phaeocephalus,Sooty-crowned flycatcher,120,2453,20.44
Myiarchus sagrae,La Sagra's flycatcher,120,12374,103.12
Myiarchus semirufus,Rufous flycatcher,120,4899,40.83
Myiarchus stolidus,Stolid flycatcher,120,10376,86.47
Myiarchus swainsoni,Swainson's flycatcher,120,5526,46.05
Myiarchus tuberculifer,Dusky-capped flycatcher,120,29829,248.57
Myiarchus tyrannulus,Brown-crested flycatcher,120,38622,321.85
Myiarchus validus,Rufous-tailed flycatcher,120,6852,57.10
Myiarchus venezuelensis,Venezuelan flycatcher,120,3157,26.31
Myiarchus yucatanensis,Yucatan flycatcher,120,5954,49.62
Myiodynastes bairdii,Baird's flycatcher,120,3393,28.27
Myiodynastes chrysocephalus,Golden-crowned flycatcher,120,4623,38.52
Myiodynastes hemichrysus,Golden-bellied flycatcher,120,10047,83.72
Myiodynastes luteiventris,Sulphur-bellied flycatcher,120,20005,166.71
Myiodynastes maculatus,Streaked flycatcher,120,13172,109.77
Myiodynastes solitarius,Streaked flycatcher,120,13172,109.77
Myiopagis caniceps,Gray-headed elaenia,37,1212,32.76
Myiopagis cinerea,Amazonian elaenia,39,1413,36.23
Myiopagis cotta,Jamaican elaenia,120,4743,39.52
Myiopagis flavivertex,Yellow-crowned elaenia,120,3006,25.05
Myiopagis gaimardii,Forest elaenia,120,4590,38.25
Myiopagis olallai,Foothill elaenia,120,3437,28.64
Myiopagis parambae,Choco elaenia,38,926,24.37
Myiopagis subplacens,Pacific elaenia,120,2955,24.62
Myiopagis viridicata,Greenish elaenia,120,7729,64.41
Myiophobus crypterythrus,Mouse-gray flycatcher,39,740,18.97
Myiophobus cryptoxanthus,Olive-chested flycatcher,120,2093,17.44
Myiophobus fasciatus,Bran-colored flycatcher,120,6172,51.43
Myiophobus flavicans,Flavescent flycatcher,120,2534,21.12
Myiophobus inornatus,Unadorned flycatcher,120,2336,19.47
Myiophobus phoenicomitra,Orange-crested flycatcher,120,2422,20.18
Myiophobus roraimae,Roraiman flycatcher,120,2488,20.73
Myiophobus rufescens,Rufescent flycatcher,39,683,17.51
Myiornis albiventris,White-bellied pygmy tyrant,120,2744,22.87
Myiornis atricapillus,Black-capped pygmy tyrant,120,8218,68.48
Myiornis auricularis,Eared pygmy tyrant,120,4931,41.09
Myiornis ecaudatus,Short-tailed pygmy tyrant,120,35771,298.09
Myiotheretes fumigatus,Smoky bush tyrant,120,2602,21.68
Myiotheretes fuscorufus,Rufous-bellied bush tyrant,120,1847,15.39
Myiotheretes pernix,Santa Marta bush tyrant,120,2795,23.29
Myiotheretes striaticollis,Streak-throated bush tyrant,120,2809,23.41
Myiotriccus ornatus,Ornate flycatcher,120,5156,42.97
Myiotriccus phoenicurus,,0,,
Myiozetetes cayanensis,Rusty-margined flycatcher,120,10652,88.77
Myiozetetes granadensis,Grey-capped flycatcher,120,6829,56.91
Myiozetetes luteiventris,Dusky-chested flycatcher,120,2944,24.53
Myiozetetes similis,Social flycatcher,120,47536,396.13
Neopipo cinnamomea,Cinnamon neopipo,120,2450,20.42
Neoxolmis rufiventris,Chocolate-vented tyrant,120,3866,32.22
Nephelomyias lintoni,Orange-banded flycatcher,120,2339,19.49
Nephelomyias ochraceiventris,Ochraceous-breasted flycatcher,120,2366,19.72
Nephelomyias pulcher,Handsome flycatcher,120,2785,23.21
Nesotriccus ridgwayi,Cocos tyrannulet,24,758,31.58
Ochthoeca cinnamomeiventris,Slaty-backed chat-tyrant,120,3664,30.53
Ochthoeca fumicolor,Brown-backed chat-tyrant,120,3097,25.81
Ochthoeca leucophrys,White-browed chat-tyrant,120,2565,21.38
Ochthoeca nigrita,Blackish chat-tyrant,96,2139,22.28
Ochthoeca oenanthoides,D'Orbigny's chat-tyrant,120,3381,28.18
Ochthoeca piurae,Piura chat-tyrant,120,2107,17.56
Ochthoeca rufipectoralis,Rufous-breasted chat-tyrant,120,2976,24.80
Ochthoeca salvini,Tumbes tyrant,120,2045,17.04
Ochthoeca superciliosa,Rufous-browed chat-tyrant,39,494,12.67
Ochthoeca thoracica,Maroon-belted chat-tyrant,120,2011,16.76
Ochthornis littoralis,Drab water tyrant,120,3079,25.66
Oncostoma cinereigulare,Northern bentbill,120,4672,38.93
Oncostoma olivaceum,Southern bentbill,120,2569,21.41
Ornithion brunneicapillus,Brown-capped tyrannulet,120,4543,37.86
Ornithion inerme,White-lored tyrannulet,120,2849,23.74
Ornithion semiflavum,Yellow-bellied tyrannulet,120,5575,46.46
Phaeomyias murina,Mouse-colored tyrannulet,120,4834,40.28
Phaeomyias tumbezana,Tumbesian tyrannulet,79,1487,18.82
Phelpsia inornata,White-bearded flycatcher,120,3814,31.78
Philohydor lictor,Lesser kiskadee,120,17211,143.43
Phyllomyias burmeisteri,Rough-legged tyrannulet,120,6068,50.57
Phyllomyias cinereiceps,Ashy-headed tyrannulet,120,3139,26.16
Phyllomyias fasciatus,Planalto tyrannulet,120,3641,30.34
Phyllomyias griseiceps,Sooty-headed tyrannulet,120,3650,30.42
Phyllomyias griseocapilla,Grey-capped tyrannulet,120,2479,20.66
Phyllomyias nigrocapillus,Black-capped tyrannulet,120,3118,25.98
Phyllomyias plumbeiceps,Plumbeous-crowned tyrannulet,120,2866,23.88
Phyllomyias reiseri,Reiser's tyrannulet,120,2151,17.93
Phyllomyias sclateri,Sclater's tyrannulet,120,2177,18.14
Phyllomyias urichi,Urich's tyrannulet,120,3121,26.01
Phyllomyias uropygialis,Tawny-rumped tyrannulet,120,2549,21.24
Phyllomyias virescens,Greenish tyrannulet,120,2408,20.07
Phyllomyias weedeni,Yungas tyrannulet,120,2788,23.23
Phyllomyias zeledoni,White-fronted tyrannulet,120,2091,17.43
Phylloscartes beckeri,Bahia tyrannulet,120,3933,32.77
Phylloscartes ceciliae,Alagoas tyrannulet,120,4054,33.78
Phylloscartes difficilis,Serra do Mar bristle tyrant,24,611,25.46
Phylloscartes flaviventris,Rufous-lored tyrannulet,120,2599,21.66
Phylloscartes flavovirens,Panama tyrannulet,41,939,22.90
Phylloscartes gualaquizae,Ecuadorian tyrannulet,120,2213,18.44
Phylloscartes kronei,Restinga tyrannulet,120,2315,19.29
Phylloscartes nigrifrons,Black-fronted tyrannulet,120,2540,21.17
Phylloscartes oustaleti,Oustalet's tyrannulet,120,2229,18.57
Phylloscartes parkeri,Cinnamon-faced tyrannulet,120,2475,20.62
Phylloscartes paulista,Sao Paulo bristle tyrant,15,771,51.40
Phylloscartes roquettei,Minas Gerais tyrannulet,120,3554,29.62
Phylloscartes superciliaris,Rufous-browed tyrannulet,120,2689,22.41
Phylloscartes sylviolus,Bay-ringed tyrannulet,120,2364,19.70
Phylloscartes ventralis,Mottle-cheeked tyrannulet,120,3158,26.32
Phylloscartes virescens,Olive-green tyrannulet,120,2688,22.40
Piprites chloris,Wing-barred piprites,120,7100,59.17
Piprites griseiceps,Grey-headed piprites,120,3957,32.98
Piprites pileata,Black-capped piprites,120,6017,50.14
Pitangus sulphuratus,Great kiskadee,120,327219,2726.82
Platyrinchus albogularis,,0,,
Platyrinchus cancrominus,Stub-tailed spadebill,120,4914,40.95
Platyrinchus coronatus,Golden-crowned spadebill,120,5555,46.29
Platyrinchus flavigularis,Yellow-throated spadebill,120,2490,20.75
Platyrinchus leucoryphus,Russet-winged spadebill,120,2644,22.03
Platyrinchus mystaceus,White-throated spadebill,120,8419,70.16
Platyrinchus platyrhynchos,White-crested spadebill,120,2797,23.31
Platyrinchus saturatus,Cinnamon-crested spadebill,120,2916,24.30
Poecilotriccus albifacies,White-cheeked tody-flycatcher,120,2608,21.73
Poecilotriccus calopterus,Golden-winged tody-flycatcher,120,2885,24.04
Poecilotriccus capitalis,Black-and-white tody-flycatcher,120,2937,24.48
Poecilotriccus fumifrons,Smoky-fronted tody-flycatcher,120,2034,16.95
Poecilotriccus latirostris,Rusty-fronted tody-flycatcher,120,2486,20.72
Poecilotriccus luluae,Lulu's tody-flycatcher,120,3833,31.94
Poecilotriccus plumbeiceps,Ochre-faced tody-flycatcher,120,3655,30.46
Poecilotriccus pulchellus,Black-backed tody-flycatcher,120,2285,19.04
Poecilotriccus ruficeps,Rufous-crowned tody-flycatcher,120,3272,27.27
Poecilotriccus russatus,Ruddy tody-flycatcher,120,2053,17.11
Poecilotriccus senex,Buff-cheeked tody-flycatcher,120,2067,17.23
Poecilotriccus sylvia,Slaty-headed tody-flycatcher,120,3340,27.83
Pogonotriccus chapmani,Chapman's bristle tyrant,120,2037,16.98
Pogonotriccus eximius,Southern bristle tyrant,120,3362,28.02
Pogonotriccus lanyoni,Antioquia bristle tyrant,120,4166,34.72
Pogonotriccus ophthalmicus,Marble-faced bristle tyrant,120,2769,23.07
Pogonotriccus orbitalis,Spectacled bristle tyrant,120,1981,16.51
Pogonotriccus poecilotis,Variegated bristle tyrant,120,2105,17.54
Pogonotriccus venezuelanus,Venezuelan bristle tyrant,120,2089,17.41
Polioxolmis rufipennis,Rufous-webbed bush tyrant,120,2688,22.40
Polystictus pectoralis,Bearded tachuri,120,5291,44.09
Polystictus superciliaris,Grey-backed tachuri,120,2283,19.02
Pseudelaenia leucospodia,Grey-and-white tyrannulet,120,2243,18.69
Pseudocolopteryx acutipennis,Subtropical doradito,120,3597,29.98
Pseudocolopteryx citreola,Ticking doradito,120,3501,29.18
Pseudocolopteryx dinelliana,Dinelli's doradito,120,2778,23.15
Pseudocolopteryx flaviventris,Warbling doradito,120,3440,28.67
Pseudocolopteryx sclateri,Crested doradito,120,3934,32.78
Pseudotriccus pelzelni,Bronze-olive pygmy tyrant,120,2369,19.74
Pseudotriccus ruficeps,Rufous-headed pygmy tyrant,120,3025,25.21
Pseudotriccus simplex,Hazel-fronted pygmy tyrant,120,2342,19.52
Pyrocephalus nanus,Brujo flycatcher,5,16,3.20
Pyrocephalus rubinus,Scarlet flycatcher,106,37777,356.39
Pyrrhomyias cinnamomeus,Cinnamon flycatcher,120,5205,43.38
Ramphotrigon fuscicauda,Dusky-tailed flatbill,120,2754,22.95
Ramphotrigon megacephalum,Large-headed flatbill,120,3766,31.38
Ramphotrigon ruficauda,Rufous-tailed flatbill,120,3494,29.12
Rhynchocyclus aequinoctialis,Western olivaceous flatbill,30,634,21.13
Rhynchocyclus brevirostris,Eye-ringed flatbill,120,5367,44.73
Rhynchocyclus fulvipectus,Fulvous-breasted flatbill,120,2426,20.22
Rhynchocyclus olivaceus,Eastern olivaceous flatbill,30,843,28.10
Rhynchocyclus pacificus,Pacific flatbill,120,2216,18.47
Rhytipterna holerythra,Rufous mourner,120,4599,38.33
Rhytipterna immunda,Pale-bellied mourner,120,2394,19.95
Rhytipterna simplex,Greyish mourner,120,3429,28.57
Satrapa icterophrys,Yellow-browed tyrant,120,3052,25.43
Sayornis nigricans,Black phoebe,120,263531,2196.09
Sayornis phoebe,Eastern phoebe,120,499404,4161.70
Sayornis saya,Say's phoebe,120,164138,1367.82
Serpophaga cinerea,Torrent tyrannulet,120,8128,67.73
Serpophaga griseicapilla,Straneck's tyrannulet,120,3229,26.91
Serpophaga hypoleuca,River tyrannulet,120,2790,23.25
Serpophaga nigricans,Sooty tyrannulet,120,3061,25.51
Serpophaga subcristata,White-crested tyrannulet,120,4010,33.42
Silvicultrix diadema,Yellow-bellied chat-tyrant,120,4280,35.67
Silvicultrix frontalis,Crowned chat-tyrant,120,3595,29.96
Silvicultrix jelskii,Jelski's chat-tyrant,120,2136,17.80
Silvicultrix pulchella,Golden-browed chat-tyrant,120,2134,17.78
Sirystes albocinereus,White-rumped sirystes,120,3041,25.34
Sirystes albogriseus,Choco sirystes,109,755,6.93
Sirystes sibilator,Sibilant sirystes,120,5366,44.72
Sirystes subcanescens,Todd's sirystes,120,2444,20.37
Stigmatura bahiae,Bahia wagtail-tyrant,38,814,21.42
Stigmatura budytoides,Greater wagtail-tyrant,120,3315,27.62
Stigmatura napensis,Lesser wagtail-tyrant,120,2935,24.46
Sublegatus arenarum,Northern scrub flycatcher,120,3468,28.90
