species,family,order,mass_g,range_km2,centroid_lat,migration
Nisaetus lanceolatus,Accipitridae,Accipitriformes,1168,183391.82,-2.12,1
Nisaetus nanus,Accipitridae,Accipitriformes,557.76,1094809.57,0.56,1
Nisaetus nipalensis,Accipitridae,Accipitriformes,3004.99,2149247.14,26.77,1
Nisaetus philippensis,Accipitridae,Accipitriformes,1168,114925.31,15.69,1
Nisaetus pinskeri,Accipitridae,Accipitriformes,1168,132366.04,8.54,1
Parabuteo leucorrhous,Accipitridae,Accipitriformes,290,1189248.2,-18.54,1
Parabuteo unicinctus,Accipitridae,Accipitriformes,850.28,9015595.35,-10.52,2
Pernis apivorus,Accipitridae,Accipitriformes,754.37,9317297.54,54.03,3
Pernis celebensis,Accipitridae,Accipitriformes,721.99,155679.51,-2.13,1
Pernis ptilorhynchus,Accipitridae,Accipitriformes,1141.13,11263289.52,32.05,1
Pernis steerei,Accipitridae,Accipitriformes,721.99,260315.9,11.91,1
Pithecophaga jefferyi,Accipitridae,Accipitriformes,5175.32,142256.55,9.95,1
Polemaetus bellicosus,Accipitridae,Accipitriformes,3964.54,14888019.22,-3.45,1
Polyboroides radiatus,Accipitridae,Accipitriformes,633.2,413722.67,-19.56,1
Polyboroides typus,Accipitridae,Accipitriformes,633.24,14893143.16,-4.02,1
Pseudastur albicollis,Accipitridae,Accipitriformes,703.7,8478535.51,-3.96,1
Pseudastur occidentalis,Accipitridae,Accipitriformes,659.99,6586.81,-3.58,1
Pseudastur polionotus,Accipitridae,Accipitriformes,703.7,813060.78,-20.38,1
Rostrhamus sociabilis,Accipitridae,Accipitriformes,366.94,11603405.03,-10.02,2
Rupornis magnirostris,Accipitridae,Accipitriformes,269,15043360.16,-8.51,1
Sarcogyps calvus,Accipitridae,Accipitriformes,4469.89,2166730.6,24.15,1
Spilornis cheela,Accipitridae,Accipitriformes,597.74,6837152.16,16.74,1
Spilornis elgini,Accipitridae,Accipitriformes,895,4980.85,12.47,1
Spilornis holospilus,Accipitridae,Accipitriformes,705,276025.54,11.86,1
Spilornis kinabaluensis,Accipitridae,Accipitriformes,597.7,36584.1,4.55,1
Spilornis klossi,Accipitridae,Accipitriformes,450,1111.02,7.06,1
Spilornis rufipectus,Accipitridae,Accipitriformes,705,115936.18,-1.9,1
Spizaetus isidori,Accipitridae,Accipitriformes,1197.4,469213.82,-6.77,1
Spizaetus melanoleucus,Accipitridae,Accipitriformes,850,8710494.02,-6.79,1
Spizaetus ornatus,Accipitridae,Accipitriformes,1197.4,9433721.9,-5.86,1
Spizaetus tyrannus,Accipitridae,Accipitriformes,1007.11,8304333.12,-4.6,1
Stephanoaetus coronatus,Accipitridae,Accipitriformes,3640,6608300.52,-4.7,1
Terathopius ecaudatus,Accipitridae,Accipitriformes,2200,14023477.79,-1.02,1
Torgos tracheliotos,Accipitridae,Accipitriformes,6969,8489832.71,2.61,2
Trigonoceps occipitalis,Accipitridae,Accipitriformes,3016,6011586.35,-1.13,1
Urotriorchis macrourus,Accipitridae,Accipitriformes,492,3073602.25,1.17,1
Pandion haliaetus,Pandionidae,Accipitriformes,1483.2,31298390.01,49.18,3
Sagittarius serpentarius,Sagittariidae,Accipitriformes,4017,14023594.92,-3.98,2
Aix galericulata,Anatidae,Anseriformes,567.04,1904941.91,45.58,3
Aix sponsa,Anatidae,Anseriformes,657.59,6191757.66,42.14,1
Alopochen aegyptiaca,Anatidae,Anseriformes,1873,17452607.3,-2.2,2
Amazonetta brasiliensis,Anatidae,Anseriformes,499.99,8747518.75,-14.65,1
Anas acuta,Anatidae,Anseriformes,944.62,28403500.77,59.6,3
Anas albogularis,Anatidae,Anseriformes,488.11,4843.64,12.53,1
Anas andium,Anatidae,Anseriformes,434,410562.88,4.02,2
Anas aucklandica,Anatidae,Anseriformes,499.09,42.5,-50.76,2
Anas bahamensis,Anatidae,Anseriformes,489.97,2991584.7,-21.2,2
Anas bernieri,Anatidae,Anseriformes,378.48,53434.31,-17.09,1
Anas capensis,Anatidae,Anseriformes,402,4317287.05,-18.66,2
Anas carolinensis,Anatidae,Anseriformes,341.89,NA,NA,2
Anas castanea,Anatidae,Anseriformes,624.01,3131751.24,-30.02,2
Anas chlorotis,Anatidae,Anseriformes,499.09,936.42,-39.13,1
Anas crecca,Anatidae,Anseriformes,341.89,31784516.68,58.18,2
Anas eatoni,Anatidae,Anseriformes,944.62,7506.03,-49.18,3
Anas erythrorhyncha,Anatidae,Anseriformes,558.82,10763443.79,-11.83,2
Anas flavirostris,Anatidae,Anseriformes,434,3942276.35,-34.05,2
Anas fulvigula,Anatidae,Anseriformes,843.42,1467257.69,28.28,2
Anas georgica,Anatidae,Anseriformes,623.82,4166039.59,-33.81,2
Anas gibberifrons,Anatidae,Anseriformes,488.11,787609.11,-3.89,1
Anas gracilis,Anatidae,Anseriformes,488.11,8457229.37,-24.47,1
Anas laysanensis,Anatidae,Anseriformes,843.42,1.52,25.76,1
Anas luzonica,Anatidae,Anseriformes,832.04,279937.11,11.81,1
Anas melleri,Anatidae,Anseriformes,959.22,210448.78,-19.37,1
Anas nesiotis,Anatidae,Anseriformes,499.09,112.17,-52.54,1
Anas platyrhynchos,Anatidae,Anseriformes,843.42,39707247.47,51.63,2
Anas poecilorhyncha,Anatidae,Anseriformes,999.96,5228716.82,21.93,2
Anas rubripes,Anatidae,Anseriformes,1240.96,4118764.61,49.93,2
Anas sparsa,Anatidae,Anseriformes,981.49,9213622.59,-9.75,1
Anas superciliosa,Anatidae,Anseriformes,882.76,8845309.64,-22.89,2
Anas undulata,Anatidae,Anseriformes,1008,8476793.26,-10.74,2
Anas wyvilliana,Anatidae,Anseriformes,843.42,4181.09,20.92,1
Anas zonorhyncha,Anatidae,Anseriformes,1156,8223090.75,41.57,2
Anser albifrons,Anatidae,Anseriformes,2506.39,5891602.97,68.29,3
Anser anser,Anatidae,Anseriformes,3302.41,13285537.12,51.74,3
Anser brachyrhynchus,Anatidae,Anseriformes,2642.04,190949.74,71.96,3
Anser caerulescens,Anatidae,Anseriformes,2636.15,582038.07,72.41,3
Anser canagicus,Anatidae,Anseriformes,2136.49,186745.48,65.46,3
Anser cygnoid,Anatidae,Anseriformes,3511.94,2166055.01,49.8,3
Anser erythropus,Anatidae,Anseriformes,1755.5,2594919.27,68.29,3
Anser fabalis,Anatidae,Anseriformes,2754.73,13919541.37,62.77,3
Anser indicus,Anatidae,Anseriformes,2212.55,2371478,41.25,3
Anser rossii,Anatidae,Anseriformes,1635.99,216140.46,62.03,3
Asarcornis scutulata,Anatidae,Anseriformes,2937.39,999723.98,12.09,1
Aythya affinis,Anatidae,Anseriformes,819.45,5052907.86,56.73,3
Aythya americana,Anatidae,Anseriformes,1075.69,5111761.27,48.31,3
Aythya australis,Anatidae,Anseriformes,869.41,6825013.89,-25.55,1
Aythya baeri,Anatidae,Anseriformes,681.23,2258041.25,49.45,3
Aythya collaris,Anatidae,Anseriformes,704.55,4899833.68,52.28,3
Aythya ferina,Anatidae,Anseriformes,822.99,16611109.18,53.5,1
Aythya fuligula,Anatidae,Anseriformes,701.17,20377977.97,57.84,2
Aythya innotata,Anatidae,Anseriformes,685,597.73,-14.36,1
Aythya marila,Anatidae,Anseriformes,1005.37,11929401.28,64.6,3
Aythya novaeseelandiae,Anatidae,Anseriformes,681.98,162640.63,-42.12,2
Aythya nyroca,Anatidae,Anseriformes,574,6827514.86,46.16,3
Aythya valisineria,Anatidae,Anseriformes,1202,3654390.23,57,3
Biziura lobata,Anatidae,Anseriformes,1928.54,1207634.45,-34.06,2
Branta bernicla,Anatidae,Anseriformes,1277.91,3125724.3,74.79,3
Branta canadensis,Anatidae,Anseriformes,2811.68,12236810.45,53.3,3
Branta hutchinsii,Anatidae,Anseriformes,2811.68,1274687.67,66.72,3
Branta leucopsis,Anatidae,Anseriformes,1683.97,178673.97,72.42,3
Branta ruficollis,Anatidae,Anseriformes,1226.47,754114,71.96,3
Branta sandvicensis,Anatidae,Anseriformes,2044.12,1904.15,20.67,1
Bucephala albeola,Anatidae,Anseriformes,397.46,4859143.91,56.77,3
Bucephala clangula,Anatidae,Anseriformes,918.56,22082935.41,58.51,3
Bucephala islandica,Anatidae,Anseriformes,921.21,2257979.96,56.43,2
Cairina moschata,Anatidae,Anseriformes,2415.78,14188216.55,-6.9,1
Callonetta leucophrys,Anatidae,Anseriformes,362.78,1310348,-25.25,2
Cereopsis novaehollandiae,Anatidae,Anseriformes,3559.99,557996.61,-36.03,2
Chenonetta jubata,Anatidae,Anseriformes,807.46,5996685.1,-26.72,1
Chloephaga hybrida,Anatidae,Anseriformes,2281.8,155646.24,-49.89,2
Chloephaga melanoptera,Anatidae,Anseriformes,2037,1159462.3,-22.01,2
Chloephaga picta,Anatidae,Anseriformes,2880.37,749760.19,-46.63,2
Chloephaga poliocephala,Anatidae,Anseriformes,2007.14,389825.64,-47.76,2
Chloephaga rubidiceps,Anatidae,Anseriformes,2086,52907.93,-52.77,2
Clangula hyemalis,Anatidae,Anseriformes,871,9492361.68,68.24,3
Coscoroba coscoroba,Anatidae,Anseriformes,4294.78,1907875.57,-39.78,2
Cyanochen cyanoptera,Anatidae,Anseriformes,1520,361268.41,9.52,1
Cygnus atratus,Anatidae,Anseriformes,5623.16,6663270.06,-26.09,2
Cygnus buccinator,Anatidae,Anseriformes,11071.13,1375549.41,57.77,3
Cygnus columbianus,Anatidae,Anseriformes,6377.96,5272186.12,67.98,3
Cygnus cygnus,Anatidae,Anseriformes,9349.99,17099815.6,58.93,3
Cygnus melancoryphus,Anatidae,Anseriformes,4711.68,1143135.35,-42.43,2
Cygnus olor,Anatidae,Anseriformes,10682.04,4915289.2,49.96,3
Dendrocygna arborea,Anatidae,Anseriformes,1150,101817.5,21.23,2
Dendrocygna arcuata,Anatidae,Anseriformes,796.18,4892125.09,-14.18,2
Dendrocygna autumnalis,Anatidae,Anseriformes,755.3,9443719.89,-4.7,2
Dendrocygna bicolor,Anatidae,Anseriformes,756.37,18668766.17,-5.6,2
Dendrocygna eytoni,Anatidae,Anseriformes,789.99,4778055.17,-23.42,2
Dendrocygna guttata,Anatidae,Anseriformes,800,925989.76,-3.45,2
