species,family,order,mass_g,range_km2,centroid_lat,migration
Amazona diadema,Psittacidae,Psittaciformes,416,63424.63,-2.84,1
Amazona dufresniana,Psittacidae,Psittaciformes,623,369976.5,4.82,1
Amazona farinosa,Psittacidae,Psittaciformes,625.99,6793599.57,-3.6,1
Amazona festiva,Psittacidae,Psittaciformes,430,689102.96,-2.62,1
Amazona finschi,Psittacidae,Psittaciformes,302,111128.49,22.34,1
Amazona guatemalae,Psittacidae,Psittaciformes,625.99,366008.65,15.79,1
Amazona guildingii,Psittacidae,Psittaciformes,646,43.1,13.25,1
Amazona imperialis,Psittacidae,Psittaciformes,529.5,61.28,15.47,1
Amazona kawalli,Psittacidae,Psittaciformes,626,812429.39,-6.04,1
Amazona leucocephala,Psittacidae,Psittaciformes,235.34,31233.13,21.67,1
Amazona lilacina,Psittacidae,Psittaciformes,416,36785.56,-1.91,1
Amazona mercenarius,Psittacidae,Psittaciformes,340,432626.42,-3.41,1
Amazona ochrocephala,Psittacidae,Psittaciformes,476.94,6626117.83,-1.78,1
Amazona oratrix,Psittacidae,Psittaciformes,476.94,48119.81,18.34,1
Amazona pretrei,Psittacidae,Psittaciformes,272.76,10426.1,-28.85,1
Amazona rhodocorytha,Psittacidae,Psittaciformes,474.34,2672.56,-20.95,1
Amazona tucumana,Psittacidae,Psittaciformes,260,69208.16,-23,1
Amazona ventralis,Psittacidae,Psittaciformes,214,7113.45,18.66,1
Amazona versicolor,Psittacidae,Psittaciformes,676,142.22,13.88,1
Amazona vinacea,Psittacidae,Psittaciformes,254,105992.85,-24.88,1
Amazona viridigenalis,Psittacidae,Psittaciformes,316,7846.5,22.34,1
Amazona vittata,Psittacidae,Psittaciformes,279.28,177.43,18.29,1
Amazona xantholora,Psittacidae,Psittaciformes,217,131400.34,19.72,1
Anodorhynchus glaucus,Psittacidae,Psittaciformes,940,NA,NA,1
Anodorhynchus hyacinthinus,Psittacidae,Psittaciformes,1331,536784.2,-12.28,1
Anodorhynchus leari,Psittacidae,Psittaciformes,939.99,7546.2,-10.08,1
Aprosmictus erythropterus,Psittacidae,Psittaciformes,136,2743055.21,-21.4,1
Aprosmictus jonquillaceus,Psittacidae,Psittaciformes,119,28185.23,-9.16,1
Ara ambiguus,Psittacidae,Psittaciformes,1300,108291.56,8.44,1
Ara ararauna,Psittacidae,Psittaciformes,1125,7780066.73,-6.59,1
Ara chloropterus,Psittacidae,Psittaciformes,1214,8101232.43,-5.12,1
Ara glaucogularis,Psittacidae,Psittaciformes,783.99,27792.35,-14.28,1
Ara macao,Psittacidae,Psittaciformes,1015,6755480.57,-2.86,1
Ara militaris,Psittacidae,Psittaciformes,1134,281783.13,-3.31,1
Ara rubrogenys,Psittacidae,Psittaciformes,468,7426.04,-18.35,1
Ara severus,Psittacidae,Psittaciformes,343,5824492.61,-4.21,1
Aratinga auricapillus,Psittacidae,Psittaciformes,130,65241.77,-17.83,1
Aratinga jandaya,Psittacidae,Psittaciformes,89.4,1514385.78,-6.83,1
Aratinga maculata,Psittacidae,Psittaciformes,119.62,19964.79,-1.5,1
Aratinga nenday,Psittacidae,Psittaciformes,128,259554.61,-22.37,1
Aratinga solstitialis,Psittacidae,Psittaciformes,119.62,96377.72,3.12,1
Aratinga weddellii,Psittacidae,Psittaciformes,108,2260164.39,-8.1,1
Barnardius zonarius,Psittacidae,Psittaciformes,133,5305452.04,-27.28,1
Belocercus longicaudus,Psittacidae,Psittaciformes,107,877581.6,0.86,1
Bolbopsittacus lunulatus,Psittacidae,Psittaciformes,67.6,210517.7,12.06,1
Bolborhynchus ferrugineifrons,Psittacidae,Psittaciformes,64,3143.4,3.06,1
Bolborhynchus lineola,Psittacidae,Psittaciformes,56.2,279157.1,5.54,2
Bolborhynchus orbygnesius,Psittacidae,Psittaciformes,43.1,191118.76,-13.53,2
Brotogeris chiriri,Psittacidae,Psittaciformes,61.6,3803604.48,-15.83,1
Brotogeris chrysoptera,Psittacidae,Psittaciformes,54.5,3112139.06,-1.77,1
Brotogeris cyanoptera,Psittacidae,Psittaciformes,56,2567592.63,-4.7,1
Brotogeris jugularis,Psittacidae,Psittaciformes,63.2,781311.17,9.32,1
Brotogeris pyrrhoptera,Psittacidae,Psittaciformes,63.87,12451.45,-3.2,1
Brotogeris sanctithomae,Psittacidae,Psittaciformes,59,1707072.32,-6.51,1
Brotogeris tirica,Psittacidae,Psittaciformes,63,288572.86,-20.68,1
Brotogeris versicolurus,Psittacidae,Psittaciformes,71.53,635609.93,-2.43,1
Chalcopsitta atra,Psittacidae,Psittaciformes,195,77414.23,-1.83,1
Chalcopsitta cardinalis,Psittacidae,Psittaciformes,183,35346.62,-7.95,1
Chalcopsitta duivenbodei,Psittacidae,Psittaciformes,218,63546.37,-3.81,1
Chalcopsitta scintillata,Psittacidae,Psittaciformes,190,311563.34,-6.86,1
Charmosyna amabilis,Psittacidae,Psittaciformes,8.54,16517.67,-17.4,1
Charmosyna diadema,Psittacidae,Psittaciformes,36.98,NA,NA,NA
Charmosyna josefinae,Psittacidae,Psittaciformes,74,159632.98,-3.93,1
Charmosyna margarethae,Psittacidae,Psittaciformes,49.39,27078,-8.16,1
Charmosyna meeki,Psittacidae,Psittaciformes,23.8,6507.88,-7.33,1
Charmosyna multistriata,Psittacidae,Psittaciformes,36.98,82448.18,-5.76,1
Charmosyna palmarum,Psittacidae,Psittaciformes,36.98,11109.69,-15.49,1
Charmosyna papou,Psittacidae,Psittaciformes,82.89,9550.65,-1.01,1
Charmosyna placentis,Psittacidae,Psittaciformes,33.6,821124.43,-5.14,1
Charmosyna pulchella,Psittacidae,Psittaciformes,34.1,381133.7,-5.03,1
Charmosyna rubrigularis,Psittacidae,Psittaciformes,37,14811.55,-5.09,1
Charmosyna rubronotata,Psittacidae,Psittaciformes,32.5,241413.47,-2.9,1
Charmosyna stellae,Psittacidae,Psittaciformes,82.89,132232.96,-5.5,1
Charmosyna toxopei,Psittacidae,Psittaciformes,36.98,8554.36,-3.42,1
Charmosyna wilhelminae,Psittacidae,Psittaciformes,18,289944.54,-5.78,1
Coracopsis barklyi,Psittacidae,Psittaciformes,186.24,47.41,-4.32,1
Coracopsis nigra,Psittacidae,Psittaciformes,186.24,591110.01,-19.38,1
Coracopsis sibilans,Psittacidae,Psittaciformes,186.24,490.61,-11.87,1
Coracopsis vasa,Psittacidae,Psittaciformes,525,413210.96,-19.53,1
Cyanoliseus patagonus,Psittacidae,Psittaciformes,277.88,899053.38,-36.96,2
Cyanopsitta spixii,Psittacidae,Psittaciformes,200,NA,NA,1
Cyanoramphus auriceps,Psittacidae,Psittaciformes,45.64,65410.62,-43.04,1
Cyanoramphus forbesi,Psittacidae,Psittaciformes,88.5,2.11,-44.27,1
Cyanoramphus malherbi,Psittacidae,Psittaciformes,46.7,306.82,-42.76,1
Cyanoramphus novaezelandiae,Psittacidae,Psittaciformes,90.22,19902.45,-26.76,1
Cyanoramphus unicolor,Psittacidae,Psittaciformes,149.03,22.67,-49.69,1
Cyclopsitta amabilis,Psittacidae,Psittaciformes,31,76825.91,-6.68,1
Cyclopsitta coxeni,Psittacidae,Psittaciformes,41.84,93581.83,-26.37,1
Cyclopsitta diophthalma,Psittacidae,Psittaciformes,41.84,448013.86,-5.43,1
Cyclopsitta gulielmitertii,Psittacidae,Psittaciformes,31,30177.42,-1.4,1
Cyclopsitta melanogenia,Psittacidae,Psittaciformes,31,333891.01,-6.99,1
Cyclopsitta nigrifrons,Psittacidae,Psittaciformes,31,102210.98,-3.55,1
Deroptyus accipitrinus,Psittacidae,Psittaciformes,246,4158548.58,-2.14,1
Diopsittaca cumanensis,Psittacidae,Psittaciformes,150.91,4793894.84,-12.83,1
Diopsittaca nobilis,Psittacidae,Psittaciformes,150.91,495203.46,5.89,1
Eclectus cornelia,Psittacidae,Psittaciformes,480.76,10922.9,-9.76,1
Eclectus polychloros,Psittacidae,Psittaciformes,480.76,877611.45,-5.51,1
Eclectus riedeli,Psittacidae,Psittaciformes,480.76,3487.58,-7.56,1
Eclectus roratus,Psittacidae,Psittaciformes,480.76,51683.78,-1.39,1
Enicognathus ferrugineus,Psittacidae,Psittaciformes,160,572089.61,-44.04,1
Enicognathus leptorhynchus,Psittacidae,Psittaciformes,193,127008.85,-38.92,2
Eos bornea,Psittacidae,Psittaciformes,156,28750.89,-3.4,1
Eos cyanogenia,Psittacidae,Psittaciformes,167,2947.6,-0.97,1
Eos histrio,Psittacidae,Psittaciformes,204,1018.35,4.21,1
Eos reticulata,Psittacidae,Psittaciformes,153,3616.55,-7.57,1
Eos semilarvata,Psittacidae,Psittaciformes,94.47,410.06,-3.14,1
Eos squamata,Psittacidae,Psittaciformes,91,32014.97,0.33,1
Eunymphicus cornutus,Psittacidae,Psittaciformes,130,826.21,-21.43,1
Eunymphicus uvaeensis,Psittacidae,Psittaciformes,130,153.08,-20.57,1
Eupsittula astec,Psittacidae,Psittaciformes,76.9,528088.91,17.62,1
Eupsittula aurea,Psittacidae,Psittaciformes,84.62,5764751.61,-12.63,1
Eupsittula cactorum,Psittacidae,Psittaciformes,82.5,1195222.88,-9.81,1
Eupsittula canicularis,Psittacidae,Psittaciformes,85,269642.12,17.22,1
Eupsittula nana,Psittacidae,Psittaciformes,76.9,11021.79,18.16,1
Eupsittula pertinax,Psittacidae,Psittaciformes,83.99,1467382.65,6.29,1
Forpus coelestis,Psittacidae,Psittaciformes,26.14,147204.19,-3.77,1
Forpus conspicillatus,Psittacidae,Psittaciformes,26.4,321378.79,6.3,1
Forpus cyanopygius,Psittacidae,Psittaciformes,33.5,115539.41,23.65,1
Forpus modestus,Psittacidae,Psittaciformes,27.2,2850135.48,-5.05,1
Forpus passerinus,Psittacidae,Psittaciformes,23,1060411.64,5.77,1
Forpus spengeli,Psittacidae,Psittaciformes,31,25871.73,10.59,1
Forpus xanthops,Psittacidae,Psittaciformes,35,2369.79,-7.37,1
Forpus xanthopterygius,Psittacidae,Psittaciformes,31,5781313.45,-13.5,1
Geoffroyus geoffroyi,Psittacidae,Psittaciformes,164,793407.63,-5.48,1
Geoffroyus heteroclitus,Psittacidae,Psittaciformes,170,78773.93,-6.46,1
Geoffroyus hyacinthinus,Psittacidae,Psittaciformes,170,675.51,-11.65,1
Geoffroyus simplex,Psittacidae,Psittaciformes,161,251222.71,-5.54,1
Glossopsitta concinna,Psittacidae,Psittaciformes,70.54,663167.13,-34.83,1
Glossopsitta porphyrocephala,Psittacidae,Psittaciformes,44.7,937738.55,-33.42,1
Glossopsitta pusilla,Psittacidae,Psittaciformes,39.4,776503.49,-31.2,1
Graydidascalus brachyurus,Psittacidae,Psittaciformes,159,658158.94,-3.18,1
Guaruba guarouba,Psittacidae,Psittaciformes,194,261029.65,-4.09,1
Hapalopsittaca amazonina,Psittacidae,Psittaciformes,106,26455.08,4.83,1
Hapalopsittaca fuertesi,Psittacidae,Psittaciformes,124,1413.29,4.48,1
Hapalopsittaca melanotis,Psittacidae,Psittaciformes,158,38602.75,-14.59,1
Hapalopsittaca pyrrhops,Psittacidae,Psittaciformes,103,9936.59,-3.17,1
Himalayapsitta cyanocephala,Psittacidae,Psittaciformes,65.99,2783564.24,21.73,1
Himalayapsitta finschii,Psittacidae,Psittaciformes,89.59,1639893,20.39,1
Himalayapsitta himalayana,Psittacidae,Psittaciformes,108.5,149148.55,30.15,1
Himalayapsitta roseata,Psittacidae,Psittaciformes,66,1695557.84,18.45,1
Lathamus discolor,Psittacidae,Psittaciformes,64.7,12318.07,-42.48,3
Leptosittaca branickii,Psittacidae,Psittaciformes,155.7,44189.56,-4.59,1
Loriculus amabilis,Psittacidae,Psittaciformes,15.5,22755.09,0.87,1
Loriculus aurantiifrons,Psittacidae,Psittaciformes,15.5,573982.76,-4.99,1
Loriculus beryllinus,Psittacidae,Psittaciformes,30,16049.97,6.83,1
Loriculus catamene,Psittacidae,Psittaciformes,33.98,556.53,3.56,1
Loriculus exilis,Psittacidae,Psittaciformes,33.98,103461.58,-1.63,1
Loriculus flosculus,Psittacidae,Psittaciformes,33.98,1417.69,-8.62,1
Loriculus galgulus,Psittacidae,Psittaciformes,28,1413389.85,1.04,1
Loriculus philippensis,Psittacidae,Psittaciformes,34.9,276863,11.83,1
Loriculus pusillus,Psittacidae,Psittaciformes,15.5,62429.77,-7.44,1
Loriculus sclateri,Psittacidae,Psittaciformes,33.98,7519.86,-1.71,1
Loriculus stigmatus,Psittacidae,Psittaciformes,28,177593.14,-2.13,1
Loriculus tener,Psittacidae,Psittaciformes,12,30581.57,-5.16,1
Loriculus vernalis,Psittacidae,Psittaciformes,35.7,2278295.57,18.78,1
Lorius albidinucha,Psittacidae,Psittaciformes,132,2255.83,-4.11,1
Lorius chlorocercus,Psittacidae,Psittaciformes,173.51,14033.51,-9.75,1
Lorius domicella,Psittacidae,Psittaciformes,182,6298.74,-3.18,1
Lorius garrulus,Psittacidae,Psittaciformes,143,25448.01,0.62,1
Lorius hypoinochrous,Psittacidae,Psittaciformes,187,61928.79,-6.31,1
Lorius lory,Psittacidae,Psittaciformes,176.89,663810.01,-5.26,1
Melopsittacus undulatus,Psittacidae,Psittaciformes,28.99,5879807.51,-25.84,2
Micropsitta bruijnii,Psittacidae,Psittaciformes,13.43,221432.6,-5.53,1
Micropsitta finschii,Psittacidae,Psittaciformes,14.95,42665.37,-7.2,1
Micropsitta geelvinkiana,Psittacidae,Psittaciformes,12.2,2459.09,-0.93,1
Micropsitta keiensis,Psittacidae,Psittaciformes,12.1,181899.43,-6.06,1
Micropsitta meeki,Psittacidae,Psittaciformes,13.8,2353.01,-2,1
Micropsitta pusio,Psittacidae,Psittaciformes,14,290278.95,-4.98,1
Myiopsitta luchsi,Psittacidae,Psittaciformes,120,132186.86,-17.51,1
Myiopsitta monachus,Psittacidae,Psittaciformes,120,2722615.89,-29.98,1
Nannopsittaca dachilleae,Psittacidae,Psittaciformes,41.5,133890.4,-12.34,1
Nannopsittaca panychlora,Psittacidae,Psittaciformes,44.1,49125.11,5,1
Neophema chrysogaster,Psittacidae,Psittaciformes,45.9,3129.58,-42.81,1
Neophema chrysostoma,Psittacidae,Psittaciformes,46.1,171443.53,-39.43,1
Neophema elegans,Psittacidae,Psittaciformes,43.4,865735.95,-31.99,1
Neophema petrophila,Psittacidae,Psittaciformes,53.2,142134.67,-33.43,1
Neophema pulchella,Psittacidae,Psittaciformes,41.37,492396.14,-32.38,1
Neophema splendida,Psittacidae,Psittaciformes,38.6,262252.22,-30.2,1
Neopsephotus bourkii,Psittacidae,Psittaciformes,44.4,1717936.07,-26.91,1
Neopsittacus musschenbroekii,Psittacidae,Psittaciformes,50.9,229336.72,-5.39,1
Neopsittacus pullicauda,Psittacidae,Psittaciformes,33.2,114873.52,-5.02,1
Nicopsitta calthrapae,Psittacidae,Psittaciformes,116.1,18931.97,6.94,1
Nicopsitta columboides,Psittacidae,Psittaciformes,86.99,121366.21,13.16,1
Northiella haematogaster,Psittacidae,Psittaciformes,85.92,1732521.3,-30.59,2
Ognorhynchus icterotis,Psittacidae,Psittaciformes,285,513.55,5.24,1
Oreopsittacus arfaki,Psittacidae,Psittaciformes,20.2,108008.26,-4.85,1
Orthopsittaca manilatus,Psittacidae,Psittaciformes,372,7148717.74,-6.22,2
Palaeornis eupatria,Psittacidae,Psittaciformes,214,3223422.66,21.89,1
Pezoporus occidentalis,Psittacidae,Psittaciformes,130,66684.53,-22.51,1
Pezoporus wallicus,Psittacidae,Psittaciformes,71.21,195370.72,-36.15,1
Phigys solitarius,Psittacidae,Psittaciformes,83.26,18131.8,-17.45,1
Pionites leucogaster,Psittacidae,Psittaciformes,155,1982282.57,-7.59,1
Pionites melanocephalus,Psittacidae,Psittaciformes,148.78,2920163.54,1.31,1
Pionites xanthomerius,Psittacidae,Psittaciformes,155,1132978.4,-10.19,1
Pionites xanthurus,Psittacidae,Psittaciformes,155,394593.52,-6.17,1
Pionopsitta pileata,Psittacidae,Psittaciformes,119,728878.23,-25.86,1
Pionus chalcopterus,Psittacidae,Psittaciformes,210,158502.65,2.12,1
Pionus fuscus,Psittacidae,Psittaciformes,206,1865113.69,1.03,1
Pionus maximiliani,Psittacidae,Psittaciformes,293,4524942.98,-17.7,1
Pionus menstruus,Psittacidae,Psittaciformes,251,8375262.88,-4.26,1
Pionus reichenowi,Psittacidae,Psittaciformes,251,133893.03,-14.48,1
Pionus senilis,Psittacidae,Psittaciformes,212,458536.21,16.36,1
Pionus seniloides,Psittacidae,Psittaciformes,239,224044.52,1.42,1
Pionus sordidus,Psittacidae,Psittaciformes,266,167594.89,-0.52,1
Pionus tumultuosus,Psittacidae,Psittaciformes,239,150467.55,-14.24,1
Platycercus adscitus,Psittacidae,Psittaciformes,111,1465853.97,-23.8,1
Platycercus caledonicus,Psittacidae,Psittaciformes,132.59,68050.36,-41.94,1
Platycercus elegans,Psittacidae,Psittaciformes,123.86,743635.36,-32.73,1
Platycercus eximius,Psittacidae,Psittaciformes,104,1075798.21,-33.61,1
Platycercus icterotis,Psittacidae,Psittaciformes,63.26,214002.52,-32.8,1
Platycercus venustus,Psittacidae,Psittaciformes,89.44,785415.83,-15.86,1
Poicephalus crassus,Psittacidae,Psittaciformes,140,343246.59,5.94,1
Poicephalus cryptoxanthus,Psittacidae,Psittaciformes,140,1182606.67,-15.7,1
Poicephalus flavifrons,Psittacidae,Psittaciformes,174,205738.93,9,1
Poicephalus fuscicollis,Psittacidae,Psittaciformes,324,3503776.69,-9.56,1
Poicephalus gulielmi,Psittacidae,Psittaciformes,274.59,1483974.66,0.83,1
Poicephalus meyeri,Psittacidae,Psittaciformes,117.47,5835819.27,-5.66,1
Poicephalus robustus,Psittacidae,Psittaciformes,343.01,95197.08,-30.97,1
Poicephalus rueppellii,Psittacidae,Psittaciformes,116,597941.08,-18.72,1
Poicephalus rufiventris,Psittacidae,Psittaciformes,120,1544074.33,3.99,1
Poicephalus senegalus,Psittacidae,Psittaciformes,147,2713959.34,11.06,1
Polytelis alexandrae,Psittacidae,Psittaciformes,103.69,1234652.55,-24.39,2
Polytelis anthopeplus,Psittacidae,Psittaciformes,170,387356.37,-32.6,2
Polytelis swainsonii,Psittacidae,Psittaciformes,153,81178.47,-34.97,2
Primolius auricollis,Psittacidae,Psittaciformes,245,838451.74,-16.31,1
Primolius couloni,Psittacidae,Psittaciformes,250,649262.51,-10.73,1
Primolius maracana,Psittacidae,Psittaciformes,256,3458797.75,-15.24,1
Prioniturus discurus,Psittacidae,Psittaciformes,148.05,171737.97,9.37,1
Prioniturus flavicans,Psittacidae,Psittaciformes,116.8,19945.56,0.78,1
Prioniturus luconensis,Psittacidae,Psittaciformes,108,93519.26,16.24,1
Prioniturus mada,Psittacidae,Psittaciformes,116.8,6285.54,-3.44,1
Prioniturus mindorensis,Psittacidae,Psittaciformes,148.05,9853.02,12.96,1
Prioniturus montanus,Psittacidae,Psittaciformes,118.26,10411.71,17.26,1
Prioniturus platenae,Psittacidae,Psittaciformes,112,13583.92,9.95,1
Prioniturus platurus,Psittacidae,Psittaciformes,66.29,184161.11,-2.08,1
Prioniturus verticalis,Psittacidae,Psittaciformes,45.04,621.55,5.2,1
Prioniturus waterstradti,Psittacidae,Psittaciformes,119,11282.82,7.34,1
Prosopeia personata,Psittacidae,Psittaciformes,40.3,10448.85,-17.83,1
Prosopeia splendens,Psittacidae,Psittaciformes,232,458.32,-19.03,1
Prosopeia tabuensis,Psittacidae,Psittaciformes,232,6279.19,-16.66,1
Psephotellus chrysopterygius,Psittacidae,Psittaciformes,46.8,2870.38,-15.62,1
Psephotellus dissimilis,Psittacidae,Psittaciformes,45.8,110733.69,-14.54,1
Psephotellus varius,Psittacidae,Psittaciformes,61.5,3329382.06,-28.79,1
Psephotus haematonotus,Psittacidae,Psittaciformes,61.39,1548738.74,-31.71,1
Pseudeos fuscata,Psittacidae,Psittaciformes,149,766350.36,-5.35,1
Psilopsiagon aurifrons,Psittacidae,Psittaciformes,33.6,947209.8,-20.19,1
Psilopsiagon aymara,Psittacidae,Psittaciformes,30,382901.13,-24.98,1
Psittacara acuticaudatus,Psittacidae,Psittaciformes,171,3345328.67,-17.6,1
Psittacara chloropterus,Psittacidae,Psittaciformes,146,13483.57,18.6,1
Psittacara erythrogenys,Psittacidae,Psittaciformes,151,106452.34,-2.95,1
Psittacara euops,Psittacidae,Psittaciformes,87,18723.73,21.49,1
Psittacara finschi,Psittacidae,Psittaciformes,150,92560.88,10.97,1
Psittacara frontatus,Psittacidae,Psittaciformes,194,126828.14,-10.49,1
Psittacara holochlorus,Psittacidae,Psittaciformes,138,299273.47,21.32,1
Psittacara leucophthalmus,Psittacidae,Psittaciformes,158,8731069.11,-12.19,1
Psittacara mitratus,Psittacidae,Psittaciformes,249,251116.9,-18.28,1
Psittacara rubritorquis,Psittacidae,Psittaciformes,212,108828.41,14.3,1
Psittacara wagleri,Psittacidae,Psittaciformes,194,202635.32,5.47,1
Psittacella brehmii,Psittacidae,Psittaciformes,107,123546.51,-5.35,1
Psittacella lorentzi,Psittacidae,Psittaciformes,62.9,24197.3,-4.16,1
Psittacella madaraszi,Psittacidae,Psittaciformes,38.81,193283.6,-5.73,1
Psittacella modesta,Psittacidae,Psittaciformes,44.7,65123.27,-4.5,1
Psittacella picta,Psittacidae,Psittaciformes,62.9,56415.7,-6.28,1
Psittacula alexandri,Psittacidae,Psittaciformes,147,2572495.73,19.3,1
Psittacula caniceps,Psittacidae,Psittaciformes,224,1111.02,7.06,1
Psittacula derbiana,Psittacidae,Psittaciformes,251,332466.75,28.04,1
Psittaculirostris cervicalis,Psittacidae,Psittaciformes,117,191021.58,-7.59,1
Psittaculirostris desmarestii,Psittacidae,Psittaciformes,117,82418.22,-1.91,1
Psittaculirostris edwardsii,Psittacidae,Psittaciformes,118,99151.91,-4.72,1
Psittaculirostris godmani,Psittacidae,Psittaciformes,117,162593.89,-6.96,1
Psittaculirostris salvadorii,Psittacidae,Psittaciformes,118,50674.66,-2.61,1
Psittacus erithacus,Psittacidae,Psittaciformes,333,2732037.72,0.03,1
Psittacus timneh,Psittacidae,Psittaciformes,333,256969.54,6.74,1
Psitteuteles goldiei,Psittacidae,Psittaciformes,58.7,307384.24,-5.95,1
Psitteuteles versicolor,Psittacidae,Psittaciformes,53.5,1214241.53,-16.98,1
Psittinus abbotti,Psittacidae,Psittaciformes,75,1775.31,2.63,1
Psittinus cyanurus,Psittacidae,Psittaciformes,60.5,1398599.34,1.09,1
Psittrichas fulgidus,Psittacidae,Psittaciformes,864.99,275735.64,-5.58,1
Purpureicephalus spurius,Psittacidae,Psittaciformes,116,126268.75,-33.56,1
Pyrilia aurantiocephala,Psittacidae,Psittaciformes,151.5,351727.85,-6.51,1
Pyrilia barrabandi,Psittacidae,Psittaciformes,140,3467636.9,-4.55,1
Pyrilia caica,Psittacidae,Psittaciformes,132,1290463.27,2.63,1
Pyrilia haematotis,Psittacidae,Psittaciformes,149,430103.87,14.68,1
Pyrilia pulchra,Psittacidae,Psittaciformes,150,92646.19,2.28,1
Pyrilia pyrilia,Psittacidae,Psittaciformes,149,152700.71,7.59,1
Pyrilia vulturina,Psittacidae,Psittaciformes,151.5,886478.71,-4.9,1
Pyrrhura albipectus,Psittacidae,Psittaciformes,103.82,7882.39,-3.98,1
Pyrrhura amazonum,Psittacidae,Psittaciformes,58.9,354187.36,-5.02,1
Pyrrhura caeruleiceps,Psittacidae,Psittaciformes,62.1,21647.5,9.51,1
Pyrrhura calliptera,Psittacidae,Psittaciformes,75,1022.08,4.69,1
Pyrrhura chapmani,Psittacidae,Psittaciformes,70.54,14776.84,2.34,1
Pyrrhura cruentata,Psittacidae,Psittaciformes,75.9,10274.69,-18.24,1
Pyrrhura devillei,Psittacidae,Psittaciformes,72,143503.09,-20.57,1
Pyrrhura egregia,Psittacidae,Psittaciformes,66.29,51342.2,5.54,1
Pyrrhura eisenmanni,Psittacidae,Psittaciformes,62.1,1542.38,7.35,1
Pyrrhura emma,Psittacidae,Psittaciformes,75.9,33363.76,10.33,1
Pyrrhura frontalis,Psittacidae,Psittaciformes,72,1704534.47,-22.57,1
Pyrrhura griseipectus,Psittacidae,Psittaciformes,75.9,686.2,-4.28,1
Pyrrhura hoematotis,Psittacidae,Psittaciformes,68.7,6303.91,10.26,1
Pyrrhura hoffmanni,Psittacidae,Psittaciformes,82.2,8001.11,9.24,1
Pyrrhura lepida,Psittacidae,Psittaciformes,75,548390.11,-3.9,1
Pyrrhura leucotis,Psittacidae,Psittaciformes,75.9,273322.17,-19.05,1
Pyrrhura lucianii,Psittacidae,Psittaciformes,67.7,47174.08,-3.67,1
Pyrrhura melanura,Psittacidae,Psittaciformes,70.54,1490802.93,-1.04,1
Pyrrhura molinae,Psittacidae,Psittaciformes,77.09,675243.93,-17.59,1
Pyrrhura orcesi,Psittacidae,Psittaciformes,70.79,744.67,-3.26,1
Pyrrhura pacifica,Psittacidae,Psittaciformes,70.54,30514.63,0.99,1
Pyrrhura parvifrons,Psittacidae,Psittaciformes,62.1,49587.4,-5.94,1
Pyrrhura perlata,Psittacidae,Psittaciformes,74.99,1128815.89,-9.85,1
Pyrrhura peruviana,Psittacidae,Psittaciformes,62.1,39672.92,-5.72,1
Pyrrhura pfrimeri,Psittacidae,Psittaciformes,75.9,7185.79,-13.49,1
Pyrrhura picta,Psittacidae,Psittaciformes,62.1,1473164.35,3.06,1
Pyrrhura rhodocephala,Psittacidae,Psittaciformes,68.7,11585.27,8.7,1
Pyrrhura roseifrons,Psittacidae,Psittaciformes,70.6,639450.39,-9.39,1
Pyrrhura rupicola,Psittacidae,Psittaciformes,74.99,545590.25,-11.14,1
Pyrrhura snethlageae,Psittacidae,Psittaciformes,62.1,331833.82,-9.68,1
Pyrrhura subandina,Psittacidae,Psittaciformes,62.1,NA,NA,1
Pyrrhura viridicata,Psittacidae,Psittaciformes,87.5,459.42,11.01,1
Rhynchopsitta pachyrhyncha,Psittacidae,Psittaciformes,324.77,596.01,26.45,1
Rhynchopsitta terrisi,Psittacidae,Psittaciformes,441.99,1276.56,25.37,1
Tanygnathus everetti,Psittacidae,Psittaciformes,269.56,NA,NA,1
Tanygnathus gramineus,Psittacidae,Psittaciformes,237.3,1363.4,-3.33,1
Tanygnathus lucionensis,Psittacidae,Psittaciformes,215,290862.98,11.72,1
Tanygnathus megalorynchos,Psittacidae,Psittaciformes,325,96725.71,-4.07,1
Tanygnathus sumatranus,Psittacidae,Psittaciformes,269.56,387284.95,5.59,1
Touit batavicus,Psittacidae,Psittaciformes,55,333487.33,5.65,2
Touit costaricensis,Psittacidae,Psittaciformes,80,9984.12,9.55,1
Touit dilectissimus,Psittacidae,Psittaciformes,65,132570.47,3.24,1
Touit huetii,Psittacidae,Psittaciformes,60,3167705.16,-4.77,1
Touit melanonotus,Psittacidae,Psittaciformes,66.51,14296.54,-22.92,2
Touit purpuratus,Psittacidae,Psittaciformes,59.7,3821297.27,-0.92,2
Touit stictopterus,Psittacidae,Psittaciformes,78.8,32941.14,-3.34,2
Touit surdus,Psittacidae,Psittaciformes,51,98992.48,-16.07,2
Trichoglossus capistratus,Psittacidae,Psittaciformes,113.25,43318.99,-9.32,1
Trichoglossus chlorolepidotus,Psittacidae,Psittaciformes,87.1,1066541.06,-24.16,1
Trichoglossus euteles,Psittacidae,Psittaciformes,73.7,37893.11,-8.98,1
Trichoglossus flavoviridis,Psittacidae,Psittaciformes,90.5,4102.71,-1.83,1
Trichoglossus forsteni,Psittacidae,Psittaciformes,113.25,24604.96,-8.55,1
Trichoglossus haematodus,Psittacidae,Psittaciformes,113.25,875500.13,-5.75,1
Trichoglossus iris,Psittacidae,Psittaciformes,55.2,31218.7,-9.13,1
Trichoglossus johnstoniae,Psittacidae,Psittaciformes,55.2,8694.55,7.32,1
