species,attractiveness,n_sex_rows
Ampelion rufaxilla,6.0841,1
Ampelornis griseiceps,5.0979,1
Amphilais seebohmi,5.0440,1
Amphispiza bilineata,5.8720,1
Amphispiza quinquestriata,5.1518,1
Amytornis ballarae,6.4568,2
Amytornis barbatus,5.6470,1
Amytornis dorotheae,6.1325,1
Amytornis goyderi,6.6625,1
Amytornis housei,5.9939,1
Amytornis merrotsyi,6.3205,1
Amytornis modestus,5.4470,1
Amytornis purnelli,6.4540,2
Amytornis textilis,5.1163,1
Amytornis woodwardi,6.8952,1
Anabacerthia amaurotis,4.9727,1
Anabacerthia lichtensteini,5.7475,1
Anabacerthia ruficaudata,5.5393,1
Anabacerthia striaticollis,5.4136,1
Anabacerthia variegaticeps,5.5316,1
Anabathmis hartlaubii,5.9603,1
Anabathmis newtonii,6.4418,1
Anabathmis reichenbachii,6.0340,1
Anabazenops dorsalis,5.3511,1
Anabazenops fuscus,5.4035,1
Anairetes alpinus,4.9394,1
Anairetes fernandezianus,5.9402,1
Anairetes flavirostris,5.7913,1
Anairetes nigrocristatus,6.7940,1
Anairetes parulus,6.2849,1
Anairetes reguloides,6.1181,1
Anarhynchus frontalis,5.6687,1
Anas acuta,5.7350,1
Anas albogularis,6.1933,1
Anas andium,5.4524,1
Anas aucklandica,5.3934,1
Anas bahamensis,6.0559,1
Anas bernieri,5.6614,1
Anas capensis,5.2971,1
Anas castanea,6.1896,1
Anas chlorotis,5.7821,1
Anas eatoni,4.9951,2
Anas erythrorhyncha,5.8317,1
Anas flavirostris,5.3830,1
Anas georgica,5.1789,1
Anas gibberifrons,4.8288,1
Anas gracilis,5.4850,1
Anas laysanensis,5.3403,1
Anas luzonica,5.4115,1
Anas melleri,5.8143,1
Anas nesiotis,4.8930,2
Anas platyrhynchos,5.7034,1
Anas poecilorhyncha,5.7637,1
Anas rubripes,5.0393,1
Anas sparsa,5.5659,1
Anas superciliosa,6.1373,1
Anas undulata,5.7748,1
Anas wyvilliana,5.7196,1
Anas zonorhyncha,5.6800,1
Anastomus lamelligerus,5.6364,1
Anastomus oscitans,5.7324,1
Ancistrops strigilatus,5.2111,1
Andigena cucullata,6.8653,1
Andigena hypoglauca,6.9316,1
Andigena laminirostris,7.2330,1
Andigena nigrirostris,7.0668,1
Androdon aequatorialis,6.1704,1
Andropadus importunus,5.2908,1
Androphobus viridis,4.5901,1
Anhima cornuta,5.3103,1
Anhinga anhinga,6.7177,1
Anhinga melanogaster,5.7803,1
Anhinga novaehollandiae,5.9754,1
Anhinga rufa,5.5845,1
Anisognathus lacrymosus,6.8065,1
Anisognathus melanogenys,6.5117,1
Anisognathus notabilis,7.0766,1
Anodorhynchus hyacinthinus,7.7429,1
Anodorhynchus leari,6.6782,1
Anomalospiza imberbis,6.3257,1
Anopetia gounellei,6.4801,1
Anorrhinus austeni,5.7379,1
Anorrhinus galeritus,5.4835,1
Anorrhinus tickelli,5.6802,1
Anous albivittus,5.8514,1
Anous ceruleus,5.6684,1
Anous minutus,5.5432,1
Anous stolidus,6.0573,1
Anous tenuirostris,5.9342,1
Anser albifrons,5.1784,1
Anser anser,5.1104,1
Anser brachyrhynchus,4.6383,1
Anser caerulescens,6.2732,1
Anser canagicus,6.0150,1
Anser cygnoid,5.4659,1
Anser erythropus,5.8905,1
Anser indicus,6.6979,1
Anser rossii,5.8756,1
Anseranas semipalmata,5.0425,1
Anthipes monileger,5.8164,1
Anthipes solitaris,6.1254,1
Anthobaphes violacea,7.3694,1
Anthocephala berlepschi,6.8369,1
Anthocephala floriceps,5.9999,1
Anthochaera carunculata,5.0671,1
Anthochaera chrysoptera,4.9124,1
Anthochaera lunulata,4.9322,1
Anthochaera paradoxa,5.4270,1
Anthochaera phrygia,6.0231,1
Anthornis melanura,5.5540,1
Anthoscopus flavifrons,4.4284,1
Anthoscopus minutus,5.3502,1
Anthoscopus musculus,4.9882,1
Anthoscopus parvulus,6.2538,1
Anthoscopus punctifrons,5.8885,1
Anthracoceros albirostris,6.7202,1
Anthracoceros coronatus,6.6304,2
Anthracoceros malayanus,6.1403,1
Anthracoceros marchei,6.0293,1
Anthracoceros montani,5.8122,1
Anthracothorax mango,6.8798,1
Anthracothorax veraguensis,6.3562,1
Anthracothorax viridigula,7.1218,2
Anthracothorax viridis,7.2302,1
Anthreptes anchietae,6.4860,1
Anthreptes aurantius,6.9928,1
Anthreptes gabonicus,5.6690,1
Anthreptes griseigularis,5.5390,1
Anthreptes longuemarei,6.8243,1
Anthreptes malacensis,6.7844,1
Anthreptes neglectus,5.0426,1
Anthreptes orientalis,5.8551,1
Anthreptes reichenowi,5.6390,1
Anthreptes rhodolaemus,6.4068,2
Anthreptes rubritorques,5.6022,1
Anthreptes seimundi,6.7712,1
Anthreptes simplex,5.8068,1
Anthropoides paradiseus,7.1096,1
Anthropoides virgo,6.6926,1
Anthus antarcticus,4.9199,1
Anthus berthelotii,5.4137,1
Anthus bogotensis,5.2598,1
Anthus brachyurus,4.4137,1
Anthus caffer,5.1590,1
Anthus campestris,4.7152,1
Anthus cervinus,5.5149,1
Anthus chacoensis,4.2880,1
Anthus cinnamomeus,4.9227,1
Anthus correndera,4.7186,1
Anthus crenatus,4.2418,1
Anthus furcatus,5.0357,1
Anthus godlewskii,5.3008,1
Anthus gustavi,4.9910,1
Anthus gutturalis,5.0032,1
Anthus hellmayri,4.5124,1
Anthus hodgsoni,5.2840,1
Anthus hoeschi,4.5828,1
Anthus leucophrys,4.7884,1
Anthus lineiventris,5.0754,1
Anthus lutescens,5.6097,1
Anthus melindae,4.9676,1
Anthus nattereri,4.8456,1
Anthus nilghiriensis,5.2190,1
Anthus novaeseelandiae,5.1175,1
Anthus nyassae,4.9908,1
Anthus pallidiventris,5.2068,1
Anthus peruvianus,4.4363,1
Anthus petrosus,5.2232,1
Anthus pratensis,4.5989,1
Anthus richardi,4.8238,1
Anthus roseatus,5.1599,1
Anthus rubescens,4.8843,1
Anthus rufulus,4.7157,1
Anthus sokokensis,5.4171,1
Anthus spinoletta,5.2417,1
Anthus spragueii,5.2863,1
Anthus sylvanus,4.5136,1
Anthus trivialis,5.1265,1
Anthus vaalensis,4.4317,1
Antigone antigone,5.7013,1
Antigone canadensis,6.7578,1
Antigone rubicunda,6.1441,1
Antigone vipio,6.6014,1
