species,matched_name,authorship,year,source,fetched
Henicopernis longicauda,Henicopernis longicauda,"(Lesson & Garnot, 1828)",1828,gbif,2026-09-05
Hieraaetus ayresii,Hieraaetus ayresii,"(Gurney, 1862)",1862,gbif,2026-09-05
Hieraaetus morphnoides,Hieraaetus morphnoides,"(Gould, 1841)",1841,gbif,2026-09-05
Hieraaetus pennatus,Hieraaetus pennatus,"(Gmelin, 1788)",1788,gbif,2026-09-05
Hieraaetus wahlbergi,Hieraaetus wahlbergi,"(Sundevall, 1850)",1850,gbif,2026-09-05
Hieraaetus weiskei,Hieraaetus weiskei,"(Reichenow, 1900)",1900,gbif,2026-09-05
Icthyophaga humilis,Icthyophaga humilis,"(S.Muller & Schlegel, 1841)",1841,gbif,2026-09-05
Icthyophaga ichthyaetus,Icthyophaga ichthyaetus,"(Horsfield, 1821)",1821,gbif,2026-09-05
Ictinaetus malaiensis,Ictinaetus malaiensis,"(Temminck, 1822)",1822,col,2026-09-05
Ictinia mississippiensis,Ictinia mississippiensis,"(A.Wilson, 1811)",1811,gbif,2026-09-05
Ictinia plumbea,Ictinia plumbea,"(Gmelin, 1788)",1788,gbif,2026-09-05
Kaupifalco monogrammicus,Kaupifalco monogrammicus,"(Temminck, 1824)",1824,gbif,2026-09-05
Leptodon cayanensis,Leptodon cayanensis,"(Latham, 1790)",1790,gbif,2026-09-05
Leptodon forbesi,Leptodon forbesi,"(Swann, 1922)",1922,gbif,2026-09-05
Leucopternis kuhli,Leucopternis kuhli,"Bonaparte, 1850",1850,gbif,2026-09-05
Leucopternis melanops,Leucopternis melanops,"(Latham, 1790)",1790,gbif,2026-09-05
Leucopternis semiplumbeus,Leucopternis semiplumbeus,"Lawrence, 1861",1861,gbif,2026-09-05
Lophaetus occipitalis,Lophaetus occipitalis,"(Daudin, 1800)",1800,gbif,2026-09-05
Lophoictinia isura,Lophoictinia isura,"(Gould, 1838)",1838,gbif,2026-09-05
Lophotriorchis kienerii,Lophotriorchis kienerii,"(Sparre, 1835)",1835,gbif,2026-09-05
Macheiramphus alcinus,Macheiramphus alcinus,"Bonaparte, 1850",1850,gbif,2026-09-05
Megatriorchis doriae,Megatriorchis doriae,"Salvadori & Albertis, 1875",1875,gbif,2026-09-05
Melierax canorus,Melierax canorus,"(Thunberg, 1799)",1799,gbif,2026-09-05
Melierax metabates,Melierax metabates,"Heuglin, 1861",1861,gbif,2026-09-05
Melierax poliopterus,Melierax poliopterus,"Cabanis, 1868",1868,gbif,2026-09-05
Micronisus gabar,Micronisus gabar,"(Daudin, 1800)",1800,gbif,2026-09-05
Milvus aegyptius,Milvus aegyptius,"(Gmelin, 1788)",1788,gbif,2026-09-05
Milvus migrans,Milvus migrans,"(Boddaert, 1783)",1783,gbif,2026-09-05
Milvus milvus,Milvus milvus,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Morphnarchus princeps,Morphnarchus princeps,"(P.L.Sclater, 1865)",1865,gbif,2026-09-05
Morphnus guianensis,Morphnus guianensis,"(Daudin, 1800)",1800,gbif,2026-09-05
Necrosyrtes monachus,Necrosyrtes monachus,"(Temminck, 1823)",1823,gbif,2026-09-05
Neophron percnopterus,Neophron percnopterus,"(Linnaeus, 1758)",1758,gbif,2026-09-05
Nisaetus alboniger,Nisaetus alboniger,"Blyth, 1845",1845,gbif,2026-09-05
Nisaetus bartelsi,Nisaetus bartelsi,"(Stresemann, 1924)",1924,gbif,2026-09-05
Nisaetus cirrhatus,Nisaetus cirrhatus,"(Gmelin, 1788)",1788,gbif,2026-09-05
Nisaetus floris,Nisaetus floris,"(Hartert, 1898)",1898,gbif,2026-09-05
Nisaetus lanceolatus,Nisaetus lanceolatus,"(Temminck & Schlegel, 1844)",1844,gbif,2026-09-05
Nisaetus nanus,Nisaetus nanus,"(Wallace, 1868)",1868,gbif,2026-09-05
Nisaetus nipalensis,Nisaetus nipalensis,"Hodgson, 1836",1836,gbif,2026-09-05
Nisaetus philippensis,Nisaetus philippensis,"(Gould, 1863)",1863,gbif,2026-09-05
Nisaetus pinskeri,Nisaetus pinskeri,"(Preleuthner & Gamauf, 1998)",1998,gbif,2026-09-05
Parabuteo leucorrhous,Parabuteo leucorrhous,"(Quoy & Gaimard, 1824)",1824,gbif,2026-09-05
