species,family,order,mass_g,range_km2,year,attractiveness,article,views_mean_monthly,works_2015_2024
Manucodia comrii,Paradisaeidae,Passeriformes,432.74,3220.81,1876,5.2474,Curl-crested manucode,254.88,10
Manucodia jobiensis,Paradisaeidae,Passeriformes,202.58,22487.64,1876,5.0562,Jobi manucode,196.61,11
Mareca americana,Anatidae,Anseriformes,754.61,8979266.49,1789,6.099,American wigeon,2373.15,68
Mareca falcata,Anatidae,Anseriformes,645.83,5490157.81,1775,5.9751,Falcated duck,832.29,52
Mareca penelope,Anatidae,Anseriformes,770.03,16342850.08,1758,5.4565,Eurasian wigeon,2868.89,125
Mareca sibilatrix,Anatidae,Anseriformes,923.16,2186262.24,1829,5.8823,Chiloé wigeon,306.27,19
Mareca strepera,Anatidae,Anseriformes,915.58,18552362.65,1758,6.0862,,,120
Margarobyas lawrencii,Strigidae,Strigiformes,95.2,109791.53,1868,6.7763,Bare-legged owl,148.88,9
Margaroperdix madagarensis,Phasianidae,Galliformes,245.0,543287.48,1786,5.566,Madagascar partridge,99.68,15
Margarops fuscatus,Mimidae,Passeriformes,98.43,20593.03,1808,4.6204,Pearly-eyed thrasher,361.36,25
Margarornis bellulus,Furnariidae,Passeriformes,18.5,194.36,1912,5.1798,Beautiful treerunner,30.33,56
Margarornis rubiginosus,Furnariidae,Passeriformes,17.8,5601.93,1865,5.833,Ruddy treerunner,35.31,20
Margarornis squamiger,Furnariidae,Passeriformes,17.3,469622.44,1838,6.4565,Pearled treerunner,41.03,20
Margarornis stellatus,Furnariidae,Passeriformes,21.49,21929.05,1873,5.3963,Star-chested treerunner,18.07,13
Marmaronetta angustirostris,Anatidae,Anseriformes,477.0,1461550.24,1832,5.4961,Marbled duck,589.33,138
Maschalethraupis surinama,Thraupidae,Passeriformes,19.0,4737118.2,1766,5.7972,,,5
Masius chrysopterus,Pipridae,Passeriformes,11.52,176828.86,1843,6.111,Golden-winged manakin,46.09,72
Mayrornis lessoni,Monarchidae,Passeriformes,11.2,17898.21,1846,5.5938,Slaty monarch,40.03,10
Mayrornis schistaceus,Monarchidae,Passeriformes,11.2,179.32,1933,4.3551,Vanikoro monarch,31.18,8
Mayrornis versicolor,Monarchidae,Passeriformes,29.0,16.45,1933,5.44,Ogea monarch,18.48,7
Mazaria propinqua,Furnariidae,Passeriformes,19.89,531677.41,1859,4.8728,White-bellied spinetail,20.71,13
Mearnsia novaeguineae,Apodidae,Caprimulgiformes,32.6,480409.55,1879,5.2008,Papuan spinetail,38.23,7
