species,family,order,mass_g,range_km2,year,attractiveness,article,views_mean_monthly,works_2015_2024
Serinus nigriceps,Fringillidae,Passeriformes,15.37,114938.98,1840,5.7855,Ethiopian siskin,89.3,12
Serinus pusillus,Fringillidae,Passeriformes,11.54,1833803.31,1811,6.5033,Red-fronted serin,317.3,37
Serinus serinus,Fringillidae,Passeriformes,11.2,4819417.99,1766,5.8453,European serin,2135.04,118
Serinus syriacus,Fringillidae,Passeriformes,11.7,7402.84,1850,6.246,Syrian serin,183.78,16
Serpophaga cinerea,Tyrannidae,Passeriformes,8.3,537348.41,1844,6.3173,Torrent tyrannulet,67.73,17
Serpophaga griseicapilla,Tyrannidae,Passeriformes,6.6,490223.64,2007,5.2959,Straneck's tyrannulet,26.91,16
Serpophaga hypoleuca,Tyrannidae,Passeriformes,6.07,557853.94,1866,5.8027,River tyrannulet,23.25,30
Serpophaga nigricans,Tyrannidae,Passeriformes,8.5,3661570.49,1817,5.723,Sooty tyrannulet,25.51,19
Setopagis heterura,Caprimulgidae,Caprimulgiformes,37.0,303524.41,1915,5.6672,Todd's nightjar,34.16,8
Setopagis parvula,Caprimulgidae,Caprimulgiformes,37.0,6789301.91,1837,6.453,Little nightjar,58.61,19
Setopagis whitelyi,Caprimulgidae,Caprimulgiformes,47.0,45695.27,1885,5.4695,Roraiman nightjar,40.61,14
Setophaga adelaidae,Parulidae,Passeriformes,6.94,8923.08,1865,6.4177,Adelaide's warbler,162.1,24
Setophaga americana,Parulidae,Passeriformes,7.84,3355702.9,1758,7.0065,Northern parula,1590.89,74
Setophaga angelae,Parulidae,Passeriformes,7.7,135.32,1972,6.2737,Elfin woods warbler,565.89,21
Setophaga caerulescens,Parulidae,Passeriformes,10.14,1168234.94,1789,6.5261,Black-throated blue warbler,1052.81,126
Setophaga castanea,Parulidae,Passeriformes,11.8,2650066.12,1810,6.3713,Bay-breasted warbler,458.82,71
Setophaga cerulea,Parulidae,Passeriformes,9.04,1849163.51,1810,7.1596,Cerulean warbler,1125.99,182
Setophaga chrysoparia,Parulidae,Passeriformes,9.9,39798.62,1860,6.3863,Golden-cheeked warbler,703.8,125
Setophaga citrina,Parulidae,Passeriformes,10.54,2007300.04,1783,6.707,Hooded warbler,1011.34,83
Setophaga delicata,Parulidae,Passeriformes,7.4,617.37,1883,7.1068,Saint Lucia warbler,69.75,7
Setophaga discolor,Parulidae,Passeriformes,7.64,1565603.51,1809,6.7912,Prairie warbler,538.74,88
Setophaga dominica,Parulidae,Passeriformes,9.69,1925341.63,1766,6.5973,Yellow-throated warbler,878.48,55
Setophaga flavescens,Parulidae,Passeriformes,9.0,2587.72,1909,6.2882,Bahama warbler,75.57,11
Setophaga fusca,Parulidae,Passeriformes,9.74,2026720.02,1776,7.4552,Blackburnian warbler,1151.12,98
Setophaga graciae,Parulidae,Passeriformes,8.1,1123569.57,1865,6.0427,Grace's warbler,155.38,40
Setophaga kirtlandii,Parulidae,Passeriformes,13.94,37706.54,1852,6.5778,Kirtland's warbler,1572.47,96
Setophaga magnolia,Parulidae,Passeriformes,8.14,3661483.1,1811,7.1974,Magnolia warbler,858.16,83
Setophaga nigrescens,Parulidae,Passeriformes,8.7,1793686.0,1837,6.1742,Black-throated gray warbler,385.31,72
Setophaga occidentalis,Parulidae,Passeriformes,10.4,338854.99,1837,5.9796,Hermit warbler,268.62,71
Setophaga palmarum,Parulidae,Passeriformes,10.3,3394685.27,1789,6.4862,Palm warbler,856.43,90
Setophaga pensylvanica,Parulidae,Passeriformes,9.29,2422614.2,1766,6.6479,Chestnut-sided warbler,658.44,87
Setophaga petechia,Parulidae,Passeriformes,10.22,15552185.22,1766,7.1244,Mangrove warbler,15.24,235
Setophaga pharetra,Parulidae,Passeriformes,9.9,11021.79,1847,5.828,Arrowhead warbler,83.53,10
Setophaga pinus,Parulidae,Passeriformes,11.79,2073441.98,1766,6.7199,Pine warbler,1612.95,67
Setophaga pityophila,Parulidae,Passeriformes,8.0,7445.49,1855,6.0573,Olive-capped warbler,60.77,11
Setophaga plumbea,Parulidae,Passeriformes,10.1,2397.36,1877,5.6438,Plumbeous warbler,75.09,12
Setophaga ruticilla,Parulidae,Passeriformes,8.24,6675504.95,1758,6.1892,American redstart,2317.56,197
Setophaga striata,Parulidae,Passeriformes,11.84,6353206.91,1772,6.2666,Blackpoll warbler,917.26,150
Setophaga subita,Parulidae,Passeriformes,7.6,153.93,1904,6.4697,Barbuda warbler,120.25,14
Setophaga tigrina,Parulidae,Passeriformes,10.04,2530023.76,1789,6.896,Cape May warbler,671.31,70
Setophaga townsendi,Parulidae,Passeriformes,8.84,1406060.25,1837,7.4535,Townsend's warbler,677.21,83
Setophaga virens,Parulidae,Passeriformes,8.69,3340613.66,1789,6.3959,Black-throated green warbler,810.97,98
Setophaga vitellina,Parulidae,Passeriformes,6.7,279.5,1886,6.2498,Vitelline warbler,68.14,11
Setornis criniger,Pycnonotidae,Passeriformes,29.5,775317.21,1839,5.536,Hook-billed bulbul,72.08,19
Sheppardia aequatorialis,Muscicapidae,Passeriformes,16.8,137290.29,1906,6.244,Equatorial akalat,25.08,11
Sheppardia aurantiithorax,Muscicapidae,Passeriformes,18.4,552.41,2004,6.1956,Rubeho akalat,28.37,12
Sheppardia cyornithopsis,Muscicapidae,Passeriformes,18.36,1075584.27,1901,5.5358,Lowland akalat,24.73,9
Sheppardia gabela,Muscicapidae,Passeriformes,11.0,958.02,1957,5.6428,Gabela akalat,28.97,15
Sheppardia gunningi,Muscicapidae,Passeriformes,17.33,58081.47,1909,6.2178,East coast akalat,37.71,19
Sheppardia lowei,Muscicapidae,Passeriformes,18.4,6701.62,1941,4.9273,Iringa akalat,25.03,15
Sheppardia montana,Muscicapidae,Passeriformes,21.8,929.87,1907,4.6915,Usambara akalat,35.99,14
Sheppardia polioptera,Muscicapidae,Passeriformes,18.71,644019.5,1892,6.4944,Grey-winged robin-chat,31.68,6
Sheppardia sharpei,Muscicapidae,Passeriformes,14.7,92949.69,1903,5.4127,Sharpe's akalat,26.55,10
Sholicola albiventris,Muscicapidae,Passeriformes,38.46,1353.1,1868,6.4735,White-bellied blue robin,171.51,39
Sholicola major,Muscicapidae,Passeriformes,38.46,1160.85,1841,6.4264,Nilgiri blue robin,317.93,20
Sialia currucoides,Turdidae,Passeriformes,29.6,4376669.8,1798,6.4162,Mountain bluebird,5036.2,130
Sialia mexicana,Turdidae,Passeriformes,26.44,1779665.7,1832,6.4979,Western bluebird,2732.48,135
Sialia sialis,Turdidae,Passeriformes,27.5,5460000.0,1758,6.5137,Eastern bluebird,9734.04,227
Sibia morrisoniana,Leiotrichidae,Passeriformes,23.97,11919.31,1906,6.2337,Taiwan barwing,59.62,5
Sibia nipalensis,Leiotrichidae,Passeriformes,43.87,108962.95,1836,6.4682,Hoary-throated barwing,59.91,5
Sibia souliei,Leiotrichidae,Passeriformes,39.34,161149.52,1897,5.3633,Streaked barwing,31.06,5
Sibia waldeni,Leiotrichidae,Passeriformes,46.73,344520.78,1874,6.6829,Streak-throated barwing,35.96,4
Sibirionetta formosa,Anatidae,Anseriformes,433.98,3744079.85,1775,5.7386,Baikal teal,1397.77,47
Sicalis auriventris,Thraupidae,Passeriformes,55.0,135742.05,1864,5.9416,Greater yellow finch,97.72,12
Sicalis citrina,Thraupidae,Passeriformes,11.6,1533817.56,1870,6.3085,Stripe-tailed yellow finch,60.8,9
Sicalis columbiana,Thraupidae,Passeriformes,13.4,1844478.68,1851,6.1057,Orange-fronted yellow finch,163.97,8
Sicalis flaveola,Thraupidae,Passeriformes,16.89,8090601.18,1766,6.2858,Saffron finch,1362.58,192
Sicalis lebruni,Thraupidae,Passeriformes,25.3,418583.42,1891,5.3488,Patagonian yellow finch,40.91,10
Sicalis lutea,Thraupidae,Passeriformes,16.3,333221.13,1837,6.2844,Puna yellow finch,37.37,19
Sicalis luteocephala,Thraupidae,Passeriformes,16.25,79079.45,1837,6.1738,Citron-headed yellow finch,28.32,13
Sicalis luteola,Thraupidae,Passeriformes,15.9,2746259.59,1789,6.1831,Grassland yellow finch,264.15,53
Sicalis mendozae,Thraupidae,Passeriformes,18.1,185797.7,1888,5.8306,Monte yellow finch,24.21,8
Sicalis olivascens,Thraupidae,Passeriformes,21.8,769970.91,1837,5.5953,Greenish yellow finch,53.69,19
Sicalis raimondii,Thraupidae,Passeriformes,15.8,67931.75,1874,5.7948,Raimondi's yellow finch,26.44,16
Sicalis taczanowskii,Thraupidae,Passeriformes,7.99,41438.32,1888,5.5626,Sulphur-throated finch,24.7,11
Sicalis uropigyalis,Thraupidae,Passeriformes,22.5,705565.48,1837,5.8699,Bright-rumped yellow finch,33.96,11
Silvicultrix diadema,Tyrannidae,Passeriformes,11.5,130712.81,1843,5.6321,Yellow-bellied chat-tyrant,35.67,3
Silvicultrix frontalis,Tyrannidae,Passeriformes,9.99,229755.72,1847,6.2453,Crowned chat-tyrant,29.96,5
Silvicultrix jelskii,Tyrannidae,Passeriformes,11.6,73769.99,1883,5.8085,Jelski's chat-tyrant,17.8,7
Silvicultrix pulchella,Tyrannidae,Passeriformes,12.0,116794.53,1876,6.0056,Golden-browed chat-tyrant,17.78,5
Siphonorhis brewsteri,Caprimulgidae,Caprimulgiformes,37.0,18693.16,1917,4.7591,Least poorwill,40.96,8
Sipia berlepschi,Thamnophilidae,Passeriformes,25.6,55751.32,1788,5.208,Stub-tailed antbird,19.2,7
Sipia laemosticta,Thamnophilidae,Passeriformes,25.0,36688.84,1868,6.1206,Dull-mantled antbird,35.0,20
Sipia nigricauda,Thamnophilidae,Passeriformes,24.0,64675.02,1850,5.2488,Esmeraldas antbird,26.73,7
Sipia palliata,Thamnophilidae,Passeriformes,25.0,88370.3,1866,5.414,Magdalena antbird,23.74,10
Sipodotus wallacii,Maluridae,Passeriformes,7.7,489818.27,1862,6.7633,Wallace's fairywren,88.22,6
Siptornis striaticollis,Furnariidae,Passeriformes,13.0,20659.13,1843,4.7835,Spectacled prickletail,15.03,14
Sirystes albocinereus,Tyrannidae,Passeriformes,38.0,1894993.29,1880,5.0811,White-rumped sirystes,25.34,8
Sirystes albogriseus,Tyrannidae,Passeriformes,34.0,174213.1,1863,5.2188,Choco sirystes,6.93,9
Sirystes sibilator,Tyrannidae,Passeriformes,32.3,4179503.46,1818,5.3188,Sibilant sirystes,44.72,26
Sirystes subcanescens,Tyrannidae,Passeriformes,34.0,752029.9,1920,5.0883,Todd's sirystes,20.37,8
Sitta azurea,Sittidae,Passeriformes,16.27,361034.34,1830,6.5243,Blue nuthatch,180.51,7
Sitta canadensis,Sittidae,Passeriformes,9.8,7299100.07,1766,6.1914,Red-breasted nuthatch,3147.33,116
Sitta carolinensis,Sittidae,Passeriformes,21.0,8811748.35,1790,6.1378,White-breasted nuthatch,4705.95,108
Sitta cashmirensis,Sittidae,Passeriformes,19.0,140130.44,1871,5.6156,Kashmir nuthatch,82.25,8
Sitta castanea,Sittidae,Passeriformes,19.62,1252045.84,1830,6.623,Indian nuthatch,101.92,10
Sitta cinnamoventris,Sittidae,Passeriformes,19.62,792362.64,1842,6.4688,Chestnut-bellied nuthatch,146.83,4
Sitta formosa,Sittidae,Passeriformes,21.0,381262.14,1843,7.0138,Beautiful nuthatch,233.28,25
Sitta frontalis,Sittidae,Passeriformes,16.5,5214819.55,1820,7.2854,Velvet-fronted nuthatch,251.23,26
Sitta himalayensis,Sittidae,Passeriformes,14.28,413170.09,1835,6.439,White-tailed nuthatch,76.14,11
Sitta krueperi,Sittidae,Passeriformes,12.4,282938.85,1863,5.899,Krüper's nuthatch,159.83,57
Sitta ledanti,Sittidae,Passeriformes,17.2,246.6,1976,5.9302,Algerian nuthatch,221.03,31
Sitta leucopsis,Sittidae,Passeriformes,14.77,258577.79,1850,6.5517,White-cheeked nuthatch,70.42,6
Sitta magna,Sittidae,Passeriformes,41.13,431190.85,1876,5.7722,Giant nuthatch,151.07,27
Sitta nagaensis,Sittidae,Passeriformes,14.7,1053108.56,1874,6.7905,Chestnut-vented nuthatch,87.12,14
Sitta neglecta,Sittidae,Passeriformes,19.62,558586.52,1870,6.0475,Burmese nuthatch,44.56,3
Sitta neumayer,Sittidae,Passeriformes,26.5,1244088.59,1830,5.2582,Western rock nuthatch,167.04,48
Sitta oenochlamys,Sittidae,Passeriformes,16.4,249953.71,1877,6.5947,Sulphur-billed nuthatch,75.98,4
Sitta przewalskii,Sittidae,Passeriformes,14.77,459527.42,1891,6.2424,Przevalski's nuthatch,190.8,6
Sitta pusilla,Sittidae,Passeriformes,10.2,891316.4,1790,6.202,Brown-headed nuthatch,983.85,92
Sitta pygmaea,Sittidae,Passeriformes,10.6,1953869.52,1839,5.961,Pygmy nuthatch,866.61,52
Sitta solangiae,Sittidae,Passeriformes,14.96,24723.1,1930,5.9973,Yellow-billed nuthatch,63.11,11
Sitta tephronota,Sittidae,Passeriformes,35.2,2326077.82,1872,5.9285,Eastern rock nuthatch,75.27,50
Sitta victoriae,Sittidae,Passeriformes,14.3,358.24,1904,7.3172,White-browed nuthatch,82.02,10
Sitta villosa,Sittidae,Passeriformes,9.38,1815019.4,1865,5.8119,Chinese nuthatch,80.16,11
Sitta whiteheadi,Sittidae,Passeriformes,11.8,2318.9,1884,6.2683,Corsican nuthatch,220.16,36
Sitta yunnanensis,Sittidae,Passeriformes,9.87,204754.16,1900,6.8108,Yunnan nuthatch,74.38,22
Sittiparus castaneoventris,Paridae,Passeriformes,17.0,35903.37,1863,6.3141,Chestnut-bellied tit,95.1,8
Sittiparus olivaceus,Paridae,Passeriformes,17.0,279.45,1923,5.4746,Iriomote tit,105.04,5
Sittiparus owstoni,Paridae,Passeriformes,17.0,150.87,1893,6.4063,Owston's tit,108.18,5
Sittiparus semilarvatus,Paridae,Passeriformes,18.0,55106.29,1866,5.8014,White-fronted tit,95.31,6
Sittiparus varius,Paridae,Passeriformes,17.0,692847.17,1847,6.485,Varied tit,571.71,26
Siva cyanouroptera,Leiotrichidae,Passeriformes,17.0,2841737.41,1837,6.1695,Blue-winged minla,140.83,7
Smicrornis brevirostris,Acanthizidae,Passeriformes,5.3,7230924.88,1838,5.5129,,,9
Smithornis capensis,Calyptomenidae,Passeriformes,23.2,3751914.0,1839,5.9786,African broadbill,215.68,15
Smithornis rufolateralis,Calyptomenidae,Passeriformes,19.04,1880114.42,1864,6.756,Rufous-sided broadbill,61.34,9
Smithornis sharpei,Calyptomenidae,Passeriformes,37.5,498936.69,1903,5.9368,Grey-headed broadbill,45.3,11
Smutsornis africanus,Glareolidae,Charadriiformes,87.5,2999057.71,1807,6.3473,Double-banded courser,147.99,2
Snowornis cryptolophus,Cotingidae,Passeriformes,73.6,109184.97,1877,5.8327,Olivaceous piha,31.64,15
Snowornis subalaris,Cotingidae,Passeriformes,81.2,59762.19,1861,5.8703,Grey-tailed piha,28.21,17
Somateria fischeri,Anatidae,Anseriformes,1557.16,1068843.97,1847,5.1502,Spectacled eider,695.22,49
Somateria mollissima,Anatidae,Anseriformes,2060.93,3321100.72,1758,5.7653,Common eider,4697.21,451
Somateria spectabilis,Anatidae,Anseriformes,1616.71,3200134.05,1758,6.355,King eider,2387.18,98
Spartonoica maluroides,Furnariidae,Passeriformes,11.0,1267559.91,1837,5.2723,Bay-capped wren-spinetail,19.87,19
Spatula clypeata,Anatidae,Anseriformes,612.56,27068888.24,1758,6.3072,Northern shoveler,3886.57,146
Spatula cyanoptera,Anatidae,Anseriformes,377.45,6567683.13,1816,5.9829,Cinnamon teal,1679.89,49
Spatula discors,Anatidae,Anseriformes,359.44,8349222.13,1766,5.5844,Blue-winged teal,2820.2,104
Spatula hottentota,Anatidae,Anseriformes,276.36,7754871.01,1838,5.8073,Blue-billed teal,386.65,15
Spatula platalea,Anatidae,Anseriformes,465.43,2947935.33,1816,5.2993,Red shoveler,208.0,15
Spatula puna,Anatidae,Anseriformes,595.21,690886.44,1844,5.577,Puna teal,208.31,14
Spatula querquedula,Anatidae,Anseriformes,325.6,16861397.11,1758,5.8405,,,59
Spatula rhynchotis,Anatidae,Anseriformes,638.96,4454068.38,1801,5.2765,Australasian shoveler,341.28,14
Spatula smithii,Anatidae,Anseriformes,591.46,2430691.95,1891,5.5869,Cape shoveler,198.68,6
Spatula versicolor,Anatidae,Anseriformes,595.21,3071768.07,1816,5.9561,Silver teal,233.82,17
Speculanas specularis,Anatidae,Anseriformes,1496.07,386663.05,1828,5.5584,Bronze-winged duck,184.3,21
Speculipastor bicolor,Sturnidae,Passeriformes,64.16,1084773.96,1879,5.634,Magpie starling,50.38,7
Spelaeornis badeigularis,Timaliidae,Passeriformes,6.0,1098.49,1948,5.7038,Mishmi wren-babbler,23.38,11
Spelaeornis caudatus,Timaliidae,Passeriformes,11.0,56850.87,1845,5.351,Rufous-throated wren-babbler,53.4,13
Spelaeornis chocolatinus,Timaliidae,Passeriformes,11.83,11101.97,1875,5.697,Naga wren-babbler,61.99,19
Spelaeornis kinneari,Timaliidae,Passeriformes,11.83,1588.73,1930,5.0951,Pale-throated wren-babbler,23.28,14
Spelaeornis longicaudatus,Timaliidae,Passeriformes,12.0,6234.12,1854,5.2639,Tawny-breasted wren-babbler,46.19,13
Spelaeornis oatesi,Timaliidae,Passeriformes,11.83,29691.64,1904,5.137,Chin Hills wren-babbler,28.76,7
Spelaeornis reptatus,Timaliidae,Passeriformes,11.83,129370.69,1903,5.316,Grey-bellied wren-babbler,32.48,5
Spelaeornis troglodytoides,Timaliidae,Passeriformes,7.0,498405.28,1870,6.081,Bar-winged wren-babbler,42.19,7
Spermestes bicolor,Estrildidae,Passeriformes,9.9,5169258.15,1843,6.3633,Black-and-white mannikin,164.12,12
Spermestes cucullata,Estrildidae,Passeriformes,8.99,8668523.94,1837,5.9857,Bronze mannikin,493.82,16
Spermestes fringilloides,Estrildidae,Passeriformes,16.8,1503708.26,1835,5.6391,Magpie mannikin,117.4,9
Spermophaga haematina,Estrildidae,Passeriformes,23.0,1910654.25,1807,6.6091,Western bluebill,86.6,15
Spermophaga poliogenys,Estrildidae,Passeriformes,19.8,366771.57,1906,6.1702,Grant's bluebill,35.45,4
Spermophaga ruficapilla,Estrildidae,Passeriformes,23.6,562817.84,1888,7.0863,Red-headed bluebill,48.36,6
Sphecotheres hypoleucus,Oriolidae,Passeriformes,77.5,2638.29,1898,5.907,Wetar figbird,53.23,4
Sphecotheres vieilloti,Oriolidae,Passeriformes,121.5,993924.12,1827,5.0806,Australasian figbird,770.02,12
Sphecotheres viridis,Oriolidae,Passeriformes,121.04,30023.14,1816,5.8106,Green figbird,99.81,10
Spheniscus demersus,Spheniscidae,Sphenisciformes,3130.11,330067.23,1758,6.7623,African penguin,13850.76,296
Spheniscus humboldti,Spheniscidae,Sphenisciformes,4366.39,73314.02,1834,6.5183,Humboldt penguin,4863.27,264
Spheniscus magellanicus,Spheniscidae,Sphenisciformes,4105.1,940638.86,1781,6.4262,Magellanic penguin,5700.23,395
Spheniscus mendiculus,Spheniscidae,Sphenisciformes,1921.86,1040.81,1871,6.0919,Galapagos penguin,6195.05,87
Sphenoeacus afer,Macrosphenidae,Passeriformes,30.4,430218.37,1789,5.0807,Cape grassbird,83.03,8
Sphenopsis frontalis,Thraupidae,Passeriformes,17.0,200867.55,1844,5.3837,Oleaginous hemispingus,58.54,13
Sphyrapicus nuchalis,Picidae,Piciformes,48.49,2075623.96,1858,6.0387,Red-naped sapsucker,893.13,81
Sphyrapicus ruber,Picidae,Piciformes,54.79,1000123.48,1788,6.5829,Red-breasted sapsucker,970.92,81
Sphyrapicus thyroideus,Picidae,Piciformes,47.6,649120.18,1852,6.554,Williamson's sapsucker,693.91,81
Sphyrapicus varius,Picidae,Piciformes,50.3,4472315.75,1766,7.0842,Yellow-bellied sapsucker,4807.2,111
Spilopelia senegalensis,Columbidae,Columbiformes,82.13,28873137.27,1766,6.0681,Laughing dove,3982.21,90
Spiloptila clamans,Cisticolidae,Passeriformes,7.0,2719529.35,1826,5.16,Cricket warbler,95.06,14
Spilornis cheela,Accipitridae,Accipitriformes,597.74,6837152.16,1790,6.9503,Crested serpent eagle,2171.03,89
Spilornis elgini,Accipitridae,Accipitriformes,895.0,4980.85,1863,6.2967,Andaman serpent eagle,274.32,42
Spilornis holospilus,Accipitridae,Accipitriformes,705.0,276025.54,1831,5.941,Philippine serpent eagle,527.33,11
Spilornis kinabaluensis,Accipitridae,Accipitriformes,597.7,36584.1,1919,6.6071,Mountain serpent eagle,175.62,13
Spilornis klossi,Accipitridae,Accipitriformes,450.0,1111.02,1902,5.7687,Great Nicobar serpent eagle,286.72,15
Spilornis rufipectus,Accipitridae,Accipitriformes,705.0,115936.18,1858,6.23,Sulawesi serpent eagle,120.8,12
Spindalis dominicensis,Spindalidae,Passeriformes,29.4,74799.65,1867,6.6882,Hispaniolan spindalis,47.18,6
Spindalis nigricephala,Spindalidae,Passeriformes,45.05,11021.79,1835,6.7424,Jamaican spindalis,48.24,5
Spindalis portoricensis,Spindalidae,Passeriformes,32.12,8774.42,1866,6.472,Puerto Rican spindalis,615.12,12
Spindalis zena,Spindalidae,Passeriformes,25.36,126553.5,1758,7.0329,Western spindalis,201.79,21
Spinus atratus,Fringillidae,Passeriformes,16.04,839801.14,1837,5.667,Black siskin,126.49,11
Spinus atriceps,Fringillidae,Passeriformes,13.46,50051.08,1863,5.6529,Black-capped siskin,78.12,31
Spinus barbatus,Fringillidae,Passeriformes,15.5,1234638.37,1782,5.9309,Black-chinned siskin,135.24,20
Spinus crassirostris,Fringillidae,Passeriformes,19.0,373239.18,1877,5.605,Thick-billed siskin,53.7,20
Spinus cucullatus,Fringillidae,Passeriformes,9.8,3251.0,1820,6.3241,Red siskin,575.6,38
Spinus dominicensis,Fringillidae,Passeriformes,12.6,9702.06,1867,5.4412,Antillean siskin,98.1,10
Spinus lawrencei,Fringillidae,Passeriformes,10.94,139353.83,1850,5.758,Lawrence's goldfinch,471.38,56
Spinus magellanicus,Fringillidae,Passeriformes,13.6,6077584.71,1805,7.081,Hooded siskin,227.97,30
Spinus notatus,Fringillidae,Passeriformes,10.9,488138.48,1847,5.8279,Black-headed siskin,90.03,16
Spinus olivaceus,Fringillidae,Passeriformes,13.6,173162.69,1894,5.8939,Olivaceous siskin,50.11,14
Spinus pinus,Fringillidae,Passeriformes,12.7,7806130.28,1810,5.854,Pine siskin,3837.85,114
Spinus psaltria,Fringillidae,Passeriformes,8.77,3951950.33,1822,5.737,Lesser goldfinch,2058.27,78
Spinus siemiradzkii,Fringillidae,Passeriformes,13.6,18291.44,1884,6.6559,Saffron siskin,65.3,11
Spinus spinescens,Fringillidae,Passeriformes,11.3,117953.77,1850,5.959,Andean siskin,135.98,29
Spinus spinus,Fringillidae,Passeriformes,13.24,8968022.11,1758,6.1252,Eurasian siskin,3555.03,95
Spinus thibetanus,Fringillidae,Passeriformes,10.48,596948.36,1872,5.8337,Tibetan serin,78.9,10
Spinus tristis,Fringillidae,Passeriformes,12.79,7802444.22,1758,5.9318,American goldfinch,14039.79,143
Spinus uropygialis,Fringillidae,Passeriformes,14.0,158669.39,1862,6.1283,Yellow-rumped siskin,62.88,17
Spinus xanthogastrus,Fringillidae,Passeriformes,12.7,161327.43,1855,5.2955,Yellow-bellied siskin,361.71,18
Spinus yarrellii,Fringillidae,Passeriformes,10.5,1440.75,1839,5.8875,Yellow-faced siskin,100.79,35
Spiza americana,Cardinalidae,Passeriformes,26.18,3462252.57,1789,6.7699,,,160
Spizaetus isidori,Accipitridae,Accipitriformes,1197.4,469213.82,1845,6.8973,Black-and-chestnut eagle,609.18,85
Spizaetus melanoleucus,Accipitridae,Accipitriformes,850.0,8710494.02,1816,6.4989,Black-and-white hawk-eagle,951.8,56
Spizaetus ornatus,Accipitridae,Accipitriformes,1197.4,9433721.9,1800,6.7291,Ornate hawk-eagle,1535.3,81
Spizaetus tyrannus,Accipitridae,Accipitriformes,1007.11,8304333.12,1820,6.2601,Black hawk-eagle,765.08,54
Spizella atrogularis,Passerellidae,Passeriformes,11.3,805016.36,1851,5.3948,Black-chinned sparrow,247.32,72
Spizella breweri,Passerellidae,Passeriformes,10.9,3238311.53,1856,5.2751,Brewer's sparrow,455.61,131
Spizella pallida,Passerellidae,Passeriformes,11.2,3219955.48,1832,5.5441,Clay-colored sparrow,663.54,63
Spizella passerina,Passerellidae,Passeriformes,12.2,13081064.54,1798,5.4453,Chipping sparrow,3785.59,114
Spizella pusilla,Passerellidae,Passeriformes,12.5,3997616.97,1810,5.4953,Field sparrow,1126.67,129
Spizella wortheni,Passerellidae,Passeriformes,12.38,3398.48,1884,5.2238,Worthen's sparrow,93.08,62
Spiziapteryx circumcincta,Falconidae,Falconiformes,166.24,1416372.05,1852,6.3119,Spot-winged falconet,163.03,13
Spizixos canifrons,Pycnonotidae,Passeriformes,44.0,1162572.35,1845,6.3831,Crested finchbill,93.74,5
Spizixos semitorques,Pycnonotidae,Passeriformes,39.0,2328094.86,1861,5.8825,Collared finchbill,107.3,33
Spizocorys conirostris,Alaudidae,Passeriformes,14.3,1128198.55,1850,5.4321,Pink-billed lark,42.83,11
Spizocorys fremantlii,Alaudidae,Passeriformes,23.39,566471.71,1897,4.7416,Short-tailed lark,33.3,5
Spizocorys fringillaris,Alaudidae,Passeriformes,19.15,3270.79,1850,4.6015,Botha's lark,74.94,14
Spizocorys personata,Alaudidae,Passeriformes,19.7,73283.54,1895,4.6105,Masked lark,29.39,7
Spizocorys sclateri,Alaudidae,Passeriformes,19.0,226405.69,1902,4.5765,Sclater's lark,39.77,16
Spizocorys starki,Alaudidae,Passeriformes,18.5,735633.97,1902,4.6564,Stark's lark,61.67,8
Spodiopsar cineraceus,Sturnidae,Passeriformes,83.0,5348180.01,1835,4.9116,White-cheeked starling,677.08,26
Spodiopsar sericeus,Sturnidae,Passeriformes,65.0,1660503.05,1789,5.9227,Red-billed starling,174.21,20
Spodiornis rusticus,Thraupidae,Passeriformes,15.6,480755.35,1844,5.481,,,7
Sporathraupis cyanocephala,Thraupidae,Passeriformes,36.0,429823.39,1837,6.4732,Blue-capped tanager,62.92,7
Sporophila albogularis,Thraupidae,Passeriformes,9.7,910904.26,1825,5.3025,White-throated seedeater,31.63,28
Sporophila americana,Thraupidae,Passeriformes,12.0,1491401.16,1789,5.5097,Wing-barred seedeater,49.98,16
Sporophila angolensis,Thraupidae,Passeriformes,13.0,11882418.15,1766,6.0998,Chestnut-bellied seed finch,203.29,39
Sporophila ardesiaca,Thraupidae,Passeriformes,10.9,638468.12,1894,5.6028,Dubois's seedeater,31.2,9
Sporophila atrirostris,Thraupidae,Passeriformes,26.0,201164.72,1878,5.8106,Black-billed seed finch,31.43,10
Sporophila beltoni,Thraupidae,Passeriformes,12.0,49878.33,2013,5.8864,Tropeiro seedeater,31.52,21
Sporophila bouvreuil,Thraupidae,Passeriformes,8.6,3349344.11,1776,6.0286,Copper seedeater,37.76,24
Sporophila bouvronides,Thraupidae,Passeriformes,9.1,638461.9,1831,5.6679,Lesson's seedeater,48.33,18
Sporophila caerulescens,Thraupidae,Passeriformes,9.73,5016967.18,1823,5.2645,Double-collared seedeater,93.25,54
Sporophila castaneiventris,Thraupidae,Passeriformes,7.8,3489887.6,1849,5.9973,Chestnut-bellied seedeater,34.65,17
Sporophila cinnamomea,Thraupidae,Passeriformes,8.9,327947.87,1839,6.5602,Chestnut seedeater,35.21,30
Sporophila collaris,Thraupidae,Passeriformes,13.49,3264556.93,1783,6.432,Rusty-collared seedeater,48.08,25
Sporophila crassirostris,Thraupidae,Passeriformes,20.9,2533030.55,1789,5.2248,Large-billed seed finch,49.87,12
Sporophila falcirostris,Thraupidae,Passeriformes,13.5,172403.15,1820,5.4275,Temminck's seedeater,32.58,29
