sta,plate,lat,lon,dist_km,residual_mm_yr,kept
0SKC,EU,64.7543,20.9215,1082.1,0.760,1
0SKE,EU,64.8792,21.0483,1071.8,0.464,1
0SKH,EU,64.6886,21.2305,1094.7,0.443,1
0SKL,EU,55.4749,14.2794,1833.5,0.380,1
0SKN,EU,55.4138,12.8579,1820.2,0.372,1
0SKO,EU,63.3782,17.8836,1171.8,0.429,1
0SKR,EU,57.8872,14.3642,1694.9,0.427,1
0SKY,EU,60.0746,17.7443,1517.5,0.708,1
0SLI,EU,57.7065,18.7982,1787.3,1.000,1
0SLU,EU,65.4316,16.2454,930.4,1.162,1
0SMA,EU,57.1613,13.4051,1757.0,0.807,1
0SMY,EU,55.3457,13.3699,1815.4,0.335,1
0SNA,EU,63.1735,15.8599,1159.1,1.425,1
0SNE,EU,57.4928,12.6474,1709.8,0.649,1
0SNG,EU,65.8589,23.4940,1021.5,0.105,1
0SOA,EU,56.4492,16.0718,1877.7,0.447,1
0SOD,EU,60.4373,18.4163,1490.3,0.649,1
0SOL,EU,59.4444,17.9529,1588.0,0.839,1
0SOP,EU,68.0909,21.6919,766.9,0.324,1
0SOR,EU,65.5352,17.5399,942.3,0.595,1
0SOV,EU,57.7406,15.7999,1734.7,0.755,1
0SPR,EU,57.7153,12.8907,1689.6,0.821,1
0SSK,EU,60.3760,18.2464,1493.9,0.892,1
0STA,EU,59.3089,18.6933,1614.6,0.920,1
0STD,EU,62.4080,16.5694,1251.4,0.544,1
0STF,EU,59.5324,14.2728,1518.8,0.602,1
0STH,EU,59.3176,18.0234,1602.7,1.000,1
0STI,EU,59.7064,15.0967,1513.1,0.637,1
0STJ,EU,58.7301,16.4107,1638.2,0.692,1
0STL,EU,63.3017,12.1218,1085.2,0.792,1
0STN,EU,59.3756,17.0215,1579.6,0.773,1
0STO,EU,57.3156,14.5947,1759.8,0.630,1
0STR,EU,58.9366,11.1813,1531.6,1.061,1
0STS,EU,63.8524,15.5612,1083.0,0.788,1
0STU,EU,65.0925,17.1051,980.5,0.729,1
0STY,EU,57.6186,11.7604,1681.7,0.685,1
0SUM,EU,62.3831,17.3341,1267.0,0.819,1
0SUN,EU,62.2325,17.6599,1288.5,0.402,1
0SUR,EU,57.8310,12.0173,1663.4,0.918,1
0SVA,EU,60.9130,16.1402,1402.0,0.479,1
0SVD,EU,55.5100,13.2351,1832.8,0.483,1
0SVE,EU,62.0174,14.7000,1261.2,0.669,1
0SVI,EU,57.0770,16.8606,1822.3,0.299,1
0SVL,EU,55.9202,13.1110,1877.6,0.267,1
0SVP,EU,67.6491,21.0553,795.5,0.665,1
0SVS,EU,56.2616,14.7695,1875.4,0.910,1
0SVT,EU,64.5120,21.0616,1109.5,0.157,1
0SYS,EU,60.7103,12.8857,1370.3,0.606,1
0TAV,EU,64.0374,20.0462,1140.1,0.733,1
0TEG,EU,63.8196,20.2443,1166.2,0.597,1
0TIV,EU,58.7806,14.5368,1603.0,0.790,1
0TJU,EU,57.9647,12.1122,1650.6,0.795,1
0TNN,EU,57.1376,12.2765,1741.8,0.606,1
0TOC,EU,59.5084,11.8335,1481.1,0.819,1
0TOK,EU,56.4128,12.6250,1825.1,0.485,1
0TOR,EU,57.0334,14.5717,1789.5,0.642,1
