sta,lat,lon,ve,vn,sve,svn,dur_yr,ngl_plate
TKMS,56.966501,23.161622,0.020008,0.013601,0.000232,0.000231,7.0773,EU
TKOM,42.959293,-81.408973,-0.015995,0.001124,0.000610,0.000443,5.0131,NA
TKRG,-21.308695,55.76471,0.016509,0.004446,0.000823,0.001273,2.5270,SO
TKSC,36.070586,140.127393,0.013447,-0.011459,0.002148,0.000624,12.6215,PS
TKTO,62.48974,-103.282112,-0.018259,-0.007472,0.000251,0.000340,7.3018,NA
TKUM,41.358707,72.234341,0.026266,0.004013,0.001446,0.004681,3.3757,EU
TLAB,38.556404,-121.435008,-0.024876,-0.002617,0.000837,0.001033,1.8699,PA
TLBD,-0.514434,98.322168,0.031965,0.030750,0.001458,0.001746,4.9801,SU
TLBN,35.934675,-119.407104,-0.020152,-0.000094,0.000614,0.000590,1.9575,PA
TLCA,45.17761,28.801402,0.022587,0.011918,0.000197,0.000190,8.2409,EU
TLCC,36.353313,-117.704906,-0.019464,-0.007625,0.000569,0.000431,7.6770,PA
TLDN,42.844713,-81.273148,-0.017491,0.001536,0.000868,0.000390,5.4155,NA
TLDO,41.612848,-83.475395,-0.015850,0.001671,0.000223,0.000248,5.8398,NA
TLEM,42.051813,-82.598635,-0.015796,0.002680,0.000301,0.000300,8.3751,NA
TLEV,46.634246,-81.396482,-0.017446,0.001347,0.000204,0.000248,10.0452,NA
TLGT,-33.77632,-70.988791,0.008993,0.016008,0.000462,0.000250,11.7454,SA
TLIA,43.561443,1.480562,0.019572,0.016407,0.000098,0.000102,18.8474,EU
TLIG,17.562627,-98.566452,-0.004776,-0.001461,0.003688,0.002765,3.1814,NA
TLK2,68.628034,-149.595425,-0.010035,-0.021860,0.000374,0.000745,8.8761,NA
TLKA,62.307654,-150.420297,-0.014854,-0.023210,0.000687,0.000489,16.3121,NA
TLL1,53.29145,-6.363499,0.015168,0.016724,0.000170,0.000246,8.2929,EU
TLLG,53.291473,-6.363455,0.015108,0.016527,0.000145,0.000222,11.7892,EU
TLLU,-1.800321,99.134135,0.032592,0.035774,0.000581,0.000565,13.6125,SU
TLMF,43.574609,1.3751,0.019535,0.016367,0.000123,0.000104,24.1697,EU
TLOH,3.44945,102.419367,0.025688,-0.005115,0.001881,0.000397,11.0007,SU
TLOK,-1.301366,100.502682,0.022451,0.004597,0.001606,0.001374,5.1910,SU
